iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,4.318857669830322,"[-0.23368778824806213, -0.5183481574058533, 0.6047893762588501, 1.0, 0.5518454909324646, -0.8539442420005798, 0.9059714078903198, -1.0, 1.0, 0.5430244207382202, -0.234584778547287, 0.41267749667167664, 0.0005558915436267853, -1.0, 0.6420661807060242, 0.887426495552063, -1.0, -0.8663821816444397, 0.7777400612831116, -0.5433176159858704]",4.318857669830322,"[[-0.23368778824806213, -0.5183481574058533, 0.6047893762588501, 1.0, 0.5518454909324646, -0.8539442420005798, 0.9059714078903198, -1.0, 1.0, 0.5430244207382202, -0.234584778547287, 0.41267749667167664, 0.0005558915436267853, -1.0, 0.6420661807060242, 0.887426495552063, -1.0, -0.8663821816444397, 0.7777400612831116, -0.5433176159858704]]",1
1,22,4.084624767303467,"[-1.0, 0.8835052847862244, 0.5960072875022888, 0.6710530519485474, -0.8699260950088501, 1.0, -0.21998204290866852, 0.7661043405532837, -0.9255032539367676, -1.0, -1.0, 0.6048853397369385, 0.8740853071212769, -1.0, 0.10607437789440155, 0.903242290019989, 0.3230590224266052, 0.19537761807441711, 1.0, -0.8515405058860779]",4.084624767303467,"[[-1.0, 0.8835052847862244, 0.5960072875022888, 0.6710530519485474, -0.8699260950088501, 1.0, -0.21998204290866852, 0.7661043405532837, -0.9255032539367676, -1.0, -1.0, 0.6048853397369385, 0.8740853071212769, -1.0, 0.10607437789440155, 0.903242290019989, 0.3230590224266052, 0.19537761807441711, 1.0, -0.8515405058860779]]",2
2,23,4.388573169708252,"[0.6040534377098083, -0.5067035555839539, 0.8860858678817749, -1.0, -0.8073621392250061, 0.9822219014167786, -0.38126328587532043, 1.0, -0.2597939372062683, -0.7861379981040955, -1.0, 0.9211146831512451, 0.7677964568138123, 1.0, -0.4517846405506134, 0.9217146039009094, -0.8423277735710144, 0.5519177317619324, 0.4935896098613739, 0.3105674386024475]",4.084624767303467,"[[-1.0, 0.8835052847862244, 0.5960072875022888, 0.6710530519485474, -0.8699260950088501, 1.0, -0.21998204290866852, 0.7661043405532837, -0.9255032539367676, -1.0, -1.0, 0.6048853397369385, 0.8740853071212769, -1.0, 0.10607437789440155, 0.903242290019989, 0.3230590224266052, 0.19537761807441711, 1.0, -0.8515405058860779]]",2
3,24,4.224084854125977,"[-0.11443772166967392, 0.8705704808235168, 1.0, -0.6329936981201172, -0.9590131044387817, 0.8737841248512268, -0.29319626092910767, 0.7931251525878906, 0.7783432602882385, 0.3542807996273041, 0.31070923805236816, -0.5267298221588135, -0.38317233324050903, -0.9106192588806152, -0.6078143119812012, 0.5188407301902771, -0.7036632299423218, 0.874637246131897, 0.21980126202106476, -0.8521695733070374]",4.084624767303467,"[[-1.0, 0.8835052847862244, 0.5960072875022888, 0.6710530519485474, -0.8699260950088501, 1.0, -0.21998204290866852, 0.7661043405532837, -0.9255032539367676, -1.0, -1.0, 0.6048853397369385, 0.8740853071212769, -1.0, 0.10607437789440155, 0.903242290019989, 0.3230590224266052, 0.19537761807441711, 1.0, -0.8515405058860779]]",2
4,25,4.418044567108154,"[1.0, 0.9814902544021606, -1.0, -0.44219091534614563, -0.6027321815490723, -0.035616546869277954, 0.9082737565040588, -0.931352436542511, 0.620043933391571, -0.9813455939292908, -0.7076727151870728, -0.657015323638916, 0.9622395038604736, -0.6707676649093628, 0.8198532462120056, 0.4802187979221344, 0.8075441718101501, 0.5597525835037231, 0.691754162311554, 0.7864851951599121]",4.084624767303467,"[[-1.0, 0.8835052847862244, 0.5960072875022888, 0.6710530519485474, -0.8699260950088501, 1.0, -0.21998204290866852, 0.7661043405532837, -0.9255032539367676, -1.0, -1.0, 0.6048853397369385, 0.8740853071212769, -1.0, 0.10607437789440155, 0.903242290019989, 0.3230590224266052, 0.19537761807441711, 1.0, -0.8515405058860779]]",2
5,26,4.312366962432861,"[-1.0, 0.7520628571510315, -1.0, 0.6159612536430359, -0.7756931185722351, 0.978829562664032, -1.0, -0.4493101239204407, -0.7982133626937866, 0.11539486795663834, 0.8397712111473083, 0.7115812301635742, 0.5456079244613647, -0.748859167098999, -0.4695880711078644, 0.9896820187568665, -0.7551949620246887, 1.0, 0.2546326220035553, 0.3020235300064087]",4.084624767303467,"[[-1.0, 0.8835052847862244, 0.5960072875022888, 0.6710530519485474, -0.8699260950088501, 1.0, -0.21998204290866852, 0.7661043405532837, -0.9255032539367676, -1.0, -1.0, 0.6048853397369385, 0.8740853071212769, -1.0, 0.10607437789440155, 0.903242290019989, 0.3230590224266052, 0.19537761807441711, 1.0, -0.8515405058860779]]",2
6,27,3.9267120361328125,"[0.7109082937240601, 0.9833726286888123, -0.11129051446914673, -0.20893993973731995, -0.5874351859092712, -0.9321179986000061, 0.9493849873542786, 0.7142415642738342, 0.9756604433059692, -0.8373469710350037, 0.808566689491272, -0.8009234666824341, -0.7048384547233582, -0.1953757256269455, -0.6577701568603516, -0.03843315690755844, 1.0, -0.013812543824315071, 0.7756932377815247, -1.0]",3.9267120361328125,"[[0.7109082937240601, 0.9833726286888123, -0.11129051446914673, -0.20893993973731995, -0.5874351859092712, -0.9321179986000061, 0.9493849873542786, 0.7142415642738342, 0.9756604433059692, -0.8373469710350037, 0.808566689491272, -0.8009234666824341, -0.7048384547233582, -0.1953757256269455, -0.6577701568603516, -0.03843315690755844, 1.0, -0.013812543824315071, 0.7756932377815247, -1.0]]",3
7,28,4.119582176208496,"[-0.9024420380592346, -0.7166284322738647, -0.7354715466499329, 0.3060409426689148, 0.8709765076637268, -0.673353910446167, 0.9975962042808533, 0.9795241951942444, 1.0, 0.8640826940536499, 0.7569428086280823, 0.0028988439589738846, 0.8582920432090759, -1.0, -0.5129052996635437, 0.27762192487716675, 0.9561570882797241, -0.9024970531463623, 0.8966200947761536, 0.8992298245429993]",3.9267120361328125,"[[0.7109082937240601, 0.9833726286888123, -0.11129051446914673, -0.20893993973731995, -0.5874351859092712, -0.9321179986000061, 0.9493849873542786, 0.7142415642738342, 0.9756604433059692, -0.8373469710350037, 0.808566689491272, -0.8009234666824341, -0.7048384547233582, -0.1953757256269455, -0.6577701568603516, -0.03843315690755844, 1.0, -0.013812543824315071, 0.7756932377815247, -1.0]]",3
8,29,4.082294464111328,"[-0.9197601675987244, -0.5393261313438416, 0.874191403388977, 0.070879727602005, -0.99277263879776, 1.0, -0.4822099804878235, -0.6673846244812012, 0.8856609463691711, 0.9126008749008179, -0.820026695728302, -0.26492205262184143, -0.9967840313911438, 0.5597988367080688, 0.05496799945831299, 0.1663023829460144, 1.0, -0.8124087452888489, 0.7676112055778503, 0.4594082534313202]",3.9267120361328125,"[[0.7109082937240601, 0.9833726286888123, -0.11129051446914673, -0.20893993973731995, -0.5874351859092712, -0.9321179986000061, 0.9493849873542786, 0.7142415642738342, 0.9756604433059692, -0.8373469710350037, 0.808566689491272, -0.8009234666824341, -0.7048384547233582, -0.1953757256269455, -0.6577701568603516, -0.03843315690755844, 1.0, -0.013812543824315071, 0.7756932377815247, -1.0]]",3
9,30,4.082096099853516,"[-0.8263753056526184, 0.17517992854118347, -0.6425179839134216, -0.6801880598068237, 0.9726536870002747, 1.0, 0.696321427822113, 0.3402578830718994, -0.1791819930076599, -0.5020007491111755, 0.13273626565933228, -1.0, 1.0, -0.9947665929794312, -0.9503901600837708, -0.5311333537101746, 0.9125579595565796, 1.0, -0.16689889132976532, -1.0]",3.9267120361328125,"[[0.7109082937240601, 0.9833726286888123, -0.11129051446914673, -0.20893993973731995, -0.5874351859092712, -0.9321179986000061, 0.9493849873542786, 0.7142415642738342, 0.9756604433059692, -0.8373469710350037, 0.808566689491272, -0.8009234666824341, -0.7048384547233582, -0.1953757256269455, -0.6577701568603516, -0.03843315690755844, 1.0, -0.013812543824315071, 0.7756932377815247, -1.0]]",3
