iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,4.286631107330322,"[0.9241317510604858, -0.34892332553863525, -0.5147464275360107, 0.5011881589889526, 0.30541276931762695, 0.521888256072998, -0.9131838083267212, 0.23336505889892578, 0.659504771232605, 0.9355669021606445, -0.6928215026855469, 0.9269381761550903, -0.2795053720474243, -0.992347240447998, -0.5469460487365723, 0.3835676908493042, -0.8193778991699219, 0.3019648790359497, 0.7996408939361572, 0.5672109127044678]",4.286631107330322,"[[0.9241317510604858, -0.34892332553863525, -0.5147464275360107, 0.5011881589889526, 0.30541276931762695, 0.521888256072998, -0.9131838083267212, 0.23336505889892578, 0.659504771232605, 0.9355669021606445, -0.6928215026855469, 0.9269381761550903, -0.2795053720474243, -0.992347240447998, -0.5469460487365723, 0.3835676908493042, -0.8193778991699219, 0.3019648790359497, 0.7996408939361572, 0.5672109127044678]]",1
1,22,4.129264831542969,"[0.5141323804855347, -0.4200706481933594, 0.6292662620544434, -0.9042713642120361, -0.822706937789917, -0.8264381885528564, 0.2883913516998291, 0.9141579866409302, 0.7507792711257935, -0.06466817855834961, -0.13849318027496338, 0.916258692741394, -0.9436730146408081, 0.8255867958068848, 0.5354906320571899, 0.7831783294677734, -0.86989426612854, -0.3822745084762573, 0.8634010553359985, 0.307284951210022]",4.129264831542969,"[[0.5141323804855347, -0.4200706481933594, 0.6292662620544434, -0.9042713642120361, -0.822706937789917, -0.8264381885528564, 0.2883913516998291, 0.9141579866409302, 0.7507792711257935, -0.06466817855834961, -0.13849318027496338, 0.916258692741394, -0.9436730146408081, 0.8255867958068848, 0.5354906320571899, 0.7831783294677734, -0.86989426612854, -0.3822745084762573, 0.8634010553359985, 0.307284951210022]]",2
2,23,4.012695789337158,"[-0.6905310153961182, 0.33117175102233887, 0.8203017711639404, -0.781768798828125, 0.9946469068527222, -0.08174645900726318, -0.2485799789428711, -0.4623037576675415, -0.8856915235519409, 0.06960117816925049, 0.9152783155441284, 0.9348821640014648, -0.815726637840271, 0.7267529964447021, 0.8428066968917847, -0.8516634702682495, -0.5208311080932617, -0.0928274393081665, 0.7899435758590698, -0.4124537706375122]",4.012695789337158,"[[-0.6905310153961182, 0.33117175102233887, 0.8203017711639404, -0.781768798828125, 0.9946469068527222, -0.08174645900726318, -0.2485799789428711, -0.4623037576675415, -0.8856915235519409, 0.06960117816925049, 0.9152783155441284, 0.9348821640014648, -0.815726637840271, 0.7267529964447021, 0.8428066968917847, -0.8516634702682495, -0.5208311080932617, -0.0928274393081665, 0.7899435758590698, -0.4124537706375122]]",3
3,24,3.9493606090545654,"[-0.998226523399353, 0.9413008689880371, -0.9407613277435303, -0.17583966255187988, -0.7897714376449585, 0.9681965112686157, 0.01599276065826416, -0.5871875286102295, -0.585946798324585, 0.04346168041229248, -0.11805117130279541, 0.8709499835968018, -0.8541746139526367, -0.6825239658355713, 0.5522572994232178, 0.26691246032714844, -0.19013071060180664, -0.5934878587722778, -0.5182613134384155, 0.9841662645339966]",3.9493606090545654,"[[-0.998226523399353, 0.9413008689880371, -0.9407613277435303, -0.17583966255187988, -0.7897714376449585, 0.9681965112686157, 0.01599276065826416, -0.5871875286102295, -0.585946798324585, 0.04346168041229248, -0.11805117130279541, 0.8709499835968018, -0.8541746139526367, -0.6825239658355713, 0.5522572994232178, 0.26691246032714844, -0.19013071060180664, -0.5934878587722778, -0.5182613134384155, 0.9841662645339966]]",4
4,25,4.143198013305664,"[0.41814422607421875, 0.5063214302062988, 0.5685808658599854, -0.5378607511520386, -0.8722720146179199, 0.6321464776992798, -0.5702352523803711, 0.9858181476593018, -0.8865045309066772, 0.17499196529388428, -0.4965837001800537, 0.248732328414917, -0.3374330997467041, 0.16721820831298828, -0.8954507112503052, -0.3051508665084839, -0.9069195985794067, 0.9598802328109741, -0.2116854190826416, -0.6864848136901855]",3.9493606090545654,"[[-0.998226523399353, 0.9413008689880371, -0.9407613277435303, -0.17583966255187988, -0.7897714376449585, 0.9681965112686157, 0.01599276065826416, -0.5871875286102295, -0.585946798324585, 0.04346168041229248, -0.11805117130279541, 0.8709499835968018, -0.8541746139526367, -0.6825239658355713, 0.5522572994232178, 0.26691246032714844, -0.19013071060180664, -0.5934878587722778, -0.5182613134384155, 0.9841662645339966]]",4
5,26,4.228565692901611,"[-0.9091677665710449, -0.8838584423065186, -0.6815860271453857, -0.9010043144226074, 0.8890942335128784, 0.5564734935760498, 0.14387309551239014, 0.4115011692047119, -0.11960959434509277, -0.4151496887207031, -0.565532922744751, -0.9555190801620483, -0.41929125785827637, -0.9246503114700317, -0.6194131374359131, -0.5973947048187256, -0.2891042232513428, 0.9517422914505005, -0.9430385828018188, 0.8731812238693237]",3.9493606090545654,"[[-0.998226523399353, 0.9413008689880371, -0.9407613277435303, -0.17583966255187988, -0.7897714376449585, 0.9681965112686157, 0.01599276065826416, -0.5871875286102295, -0.585946798324585, 0.04346168041229248, -0.11805117130279541, 0.8709499835968018, -0.8541746139526367, -0.6825239658355713, 0.5522572994232178, 0.26691246032714844, -0.19013071060180664, -0.5934878587722778, -0.5182613134384155, 0.9841662645339966]]",4
6,27,3.7349579334259033,"[-0.02798771858215332, -0.38792359828948975, 0.09074199199676514, -0.6473984718322754, -0.39619243144989014, 0.026532292366027832, 0.6437605619430542, 0.9355126619338989, -0.7698256969451904, -0.8921116590499878, 0.11707711219787598, -0.06893813610076904, 0.5075774192810059, 0.5043430328369141, 0.08452260494232178, -0.7203528881072998, 0.9093886613845825, -0.8416581153869629, 0.9287432432174683, -0.883521318435669]",3.7349579334259033,"[[-0.02798771858215332, -0.38792359828948975, 0.09074199199676514, -0.6473984718322754, -0.39619243144989014, 0.026532292366027832, 0.6437605619430542, 0.9355126619338989, -0.7698256969451904, -0.8921116590499878, 0.11707711219787598, -0.06893813610076904, 0.5075774192810059, 0.5043430328369141, 0.08452260494232178, -0.7203528881072998, 0.9093886613845825, -0.8416581153869629, 0.9287432432174683, -0.883521318435669]]",5
7,28,4.11268949508667,"[-0.8012382984161377, 0.5745077133178711, 0.8461258411407471, -0.12026536464691162, -0.3927912712097168, 0.5748211145401001, -0.9798520803451538, -0.8128461837768555, 0.5992770195007324, -0.9735137224197388, 0.5328655242919922, -0.9845904111862183, -0.10832297801971436, 0.9339594841003418, 0.33051788806915283, 0.12689387798309326, 0.7482172250747681, 0.5543267726898193, 0.9382452964782715, 0.2511948347091675]",3.7349579334259033,"[[-0.02798771858215332, -0.38792359828948975, 0.09074199199676514, -0.6473984718322754, -0.39619243144989014, 0.026532292366027832, 0.6437605619430542, 0.9355126619338989, -0.7698256969451904, -0.8921116590499878, 0.11707711219787598, -0.06893813610076904, 0.5075774192810059, 0.5043430328369141, 0.08452260494232178, -0.7203528881072998, 0.9093886613845825, -0.8416581153869629, 0.9287432432174683, -0.883521318435669]]",5
8,29,3.8740928173065186,"[0.1441866159439087, 0.955722451210022, 0.4153050184249878, 0.8313295841217041, -0.9399235248565674, 0.8877166509628296, 0.9918758869171143, -0.9076588153839111, -0.7657005786895752, 0.3515397310256958, 0.8383461236953735, -0.2015475034713745, -0.8613342046737671, 0.8547751903533936, 0.17661833763122559, -0.7368359565734863, 0.3495666980743408, -0.9733126163482666, -0.9275885820388794, 0.05051469802856445]",3.7349579334259033,"[[-0.02798771858215332, -0.38792359828948975, 0.09074199199676514, -0.6473984718322754, -0.39619243144989014, 0.026532292366027832, 0.6437605619430542, 0.9355126619338989, -0.7698256969451904, -0.8921116590499878, 0.11707711219787598, -0.06893813610076904, 0.5075774192810059, 0.5043430328369141, 0.08452260494232178, -0.7203528881072998, 0.9093886613845825, -0.8416581153869629, 0.9287432432174683, -0.883521318435669]]",5
9,30,4.264012813568115,"[0.8953081369400024, -0.3013944625854492, 0.6020170450210571, 0.6306272745132446, -0.8783847093582153, -0.9280482530593872, -0.71196448802948, 0.017669677734375, 0.20548975467681885, 0.4980907440185547, 0.5526924133300781, -0.2966369390487671, -0.5345783233642578, -0.5238779783248901, -0.9788728952407837, 0.6694856882095337, 0.985107421875, 0.37406134605407715, -0.8541957139968872, -0.4211503267288208]",3.7349579334259033,"[[-0.02798771858215332, -0.38792359828948975, 0.09074199199676514, -0.6473984718322754, -0.39619243144989014, 0.026532292366027832, 0.6437605619430542, 0.9355126619338989, -0.7698256969451904, -0.8921116590499878, 0.11707711219787598, -0.06893813610076904, 0.5075774192810059, 0.5043430328369141, 0.08452260494232178, -0.7203528881072998, 0.9093886613845825, -0.8416581153869629, 0.9287432432174683, -0.883521318435669]]",5
