iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,4.073164463043213,"[0.5194438099861145, 0.9903373718261719, -0.9680745005607605, 0.9860445857048035, 0.05797288194298744, -1.0, 0.5389049649238586, -1.0, 0.943828821182251, -0.159970223903656, -0.7424922585487366, -0.2224244475364685, 0.2959967851638794, -0.8706181049346924, -0.529606282711029, -0.28099778294563293, -0.6506446599960327, 0.14372572302818298, 0.582176685333252, 0.4052545726299286]",4.073164463043213,"[[0.5194438099861145, 0.9903373718261719, -0.9680745005607605, 0.9860445857048035, 0.05797288194298744, -1.0, 0.5389049649238586, -1.0, 0.943828821182251, -0.159970223903656, -0.7424922585487366, -0.2224244475364685, 0.2959967851638794, -0.8706181049346924, -0.529606282711029, -0.28099778294563293, -0.6506446599960327, 0.14372572302818298, 0.582176685333252, 0.4052545726299286]]",1
1,22,4.411131381988525,"[-0.6972476243972778, -0.5516147017478943, 0.6269844770431519, -0.057852406054735184, -0.45303478837013245, 0.9271215796470642, -0.23691707849502563, 0.5866263508796692, 0.4422928988933563, 0.6855279803276062, -0.6559755206108093, -0.821937620639801, 0.5607967972755432, 0.8503900766372681, -1.0, -0.6667629480361938, -0.5130745768547058, 0.6232744455337524, 0.6849620938301086, -0.5617338418960571]",4.073164463043213,"[[0.5194438099861145, 0.9903373718261719, -0.9680745005607605, 0.9860445857048035, 0.05797288194298744, -1.0, 0.5389049649238586, -1.0, 0.943828821182251, -0.159970223903656, -0.7424922585487366, -0.2224244475364685, 0.2959967851638794, -0.8706181049346924, -0.529606282711029, -0.28099778294563293, -0.6506446599960327, 0.14372572302818298, 0.582176685333252, 0.4052545726299286]]",1
2,23,4.248743057250977,"[-0.910390317440033, 0.7450210452079773, 0.980352520942688, -0.15257371962070465, -0.5712684392929077, 0.9384437799453735, 0.9527287483215332, 0.771393358707428, 0.7528416514396667, 0.8574700951576233, 0.5738710761070251, 0.9064944386482239, 0.18410180509090424, 0.39557868242263794, -0.8828675150871277, 0.9937798380851746, -0.9070068001747131, -0.5907711386680603, 0.7122012972831726, 0.8713758587837219]",4.073164463043213,"[[0.5194438099861145, 0.9903373718261719, -0.9680745005607605, 0.9860445857048035, 0.05797288194298744, -1.0, 0.5389049649238586, -1.0, 0.943828821182251, -0.159970223903656, -0.7424922585487366, -0.2224244475364685, 0.2959967851638794, -0.8706181049346924, -0.529606282711029, -0.28099778294563293, -0.6506446599960327, 0.14372572302818298, 0.582176685333252, 0.4052545726299286]]",1
3,24,4.176135063171387,"[0.5541278719902039, -0.7467639446258545, 0.7388046383857727, -0.557355523109436, -0.998651921749115, -0.9495971202850342, -0.4771697223186493, 0.9127215147018433, -0.9555502533912659, -0.6908863186836243, -0.23606346547603607, 0.7724207639694214, -0.688694417476654, 0.1912437379360199, -0.18851983547210693, 0.9173395037651062, 0.3999396860599518, 0.7287329435348511, -0.9943373203277588, 0.07024776935577393]",4.073164463043213,"[[0.5194438099861145, 0.9903373718261719, -0.9680745005607605, 0.9860445857048035, 0.05797288194298744, -1.0, 0.5389049649238586, -1.0, 0.943828821182251, -0.159970223903656, -0.7424922585487366, -0.2224244475364685, 0.2959967851638794, -0.8706181049346924, -0.529606282711029, -0.28099778294563293, -0.6506446599960327, 0.14372572302818298, 0.582176685333252, 0.4052545726299286]]",1
4,25,4.250779151916504,"[-0.6276013851165771, -0.2851123809814453, -0.6609635949134827, -0.8867724537849426, -0.9775587916374207, -0.9789348244667053, 0.5893710255622864, 0.031177803874015808, 0.49889975786209106, 0.2777623236179352, -0.6489574909210205, 1.0, 0.7646247744560242, -0.6976093053817749, -0.45233625173568726, 0.012525547295808792, -0.6887028813362122, 0.6696548461914062, -0.43704041838645935, 0.6501610279083252]",4.073164463043213,"[[0.5194438099861145, 0.9903373718261719, -0.9680745005607605, 0.9860445857048035, 0.05797288194298744, -1.0, 0.5389049649238586, -1.0, 0.943828821182251, -0.159970223903656, -0.7424922585487366, -0.2224244475364685, 0.2959967851638794, -0.8706181049346924, -0.529606282711029, -0.28099778294563293, -0.6506446599960327, 0.14372572302818298, 0.582176685333252, 0.4052545726299286]]",1
5,26,3.8260087966918945,"[-0.9928098320960999, 0.45974302291870117, 0.7807261347770691, 0.0018053277162835002, -0.7729588150978088, 0.9312838912010193, 0.943327009677887, -0.7920730710029602, -0.15632613003253937, -0.990053653717041, -0.8767107129096985, -0.329061359167099, 0.15701942145824432, -0.9506464004516602, 0.4115751087665558, -0.6638087034225464, -0.14610087871551514, -0.9357630014419556, 0.9596092104911804, -0.07695254683494568]",3.8260087966918945,"[[-0.9928098320960999, 0.45974302291870117, 0.7807261347770691, 0.0018053277162835002, -0.7729588150978088, 0.9312838912010193, 0.943327009677887, -0.7920730710029602, -0.15632613003253937, -0.990053653717041, -0.8767107129096985, -0.329061359167099, 0.15701942145824432, -0.9506464004516602, 0.4115751087665558, -0.6638087034225464, -0.14610087871551514, -0.9357630014419556, 0.9596092104911804, -0.07695254683494568]]",2
6,27,4.23278284072876,"[0.1658649444580078, 0.9912384152412415, -0.8273172378540039, -0.18819057941436768, 1.0, 0.7977160215377808, 0.6165906190872192, 0.4798147678375244, -0.961972713470459, 0.885877788066864, -0.7819334864616394, -0.9205659627914429, -0.6744182109832764, -1.0, 0.016568729653954506, 0.4497549831867218, 0.6014751195907593, 0.994015634059906, -0.5095728039741516, 0.6189779043197632]",3.8260087966918945,"[[-0.9928098320960999, 0.45974302291870117, 0.7807261347770691, 0.0018053277162835002, -0.7729588150978088, 0.9312838912010193, 0.943327009677887, -0.7920730710029602, -0.15632613003253937, -0.990053653717041, -0.8767107129096985, -0.329061359167099, 0.15701942145824432, -0.9506464004516602, 0.4115751087665558, -0.6638087034225464, -0.14610087871551514, -0.9357630014419556, 0.9596092104911804, -0.07695254683494568]]",2
7,28,4.304520606994629,"[-0.6971434354782104, -0.9822951555252075, -0.31721067428588867, -0.9439842104911804, -0.1438705176115036, -0.9304503798484802, -0.465076208114624, 0.42739439010620117, 0.685852587223053, -0.8519673943519592, 0.8996294140815735, 0.43144652247428894, -0.4300464689731598, -0.8379499316215515, 0.22438153624534607, 0.7952081561088562, 0.7080258727073669, -0.5820860862731934, 0.6894134879112244, 0.6704261302947998]",3.8260087966918945,"[[-0.9928098320960999, 0.45974302291870117, 0.7807261347770691, 0.0018053277162835002, -0.7729588150978088, 0.9312838912010193, 0.943327009677887, -0.7920730710029602, -0.15632613003253937, -0.990053653717041, -0.8767107129096985, -0.329061359167099, 0.15701942145824432, -0.9506464004516602, 0.4115751087665558, -0.6638087034225464, -0.14610087871551514, -0.9357630014419556, 0.9596092104911804, -0.07695254683494568]]",2
8,29,3.922818899154663,"[0.912685751914978, 0.9008830189704895, -0.037777990102767944, -0.7460672855377197, 0.9878525137901306, -0.300358384847641, -0.15221723914146423, -0.2069176733493805, -0.6189839839935303, -0.5324196219444275, -0.06786604225635529, 0.790657639503479, -0.9008054733276367, 0.6752199530601501, -0.7941765785217285, -0.9365131855010986, -0.47223058342933655, 0.5062723159790039, 0.0942297875881195, -0.9544802308082581]",3.8260087966918945,"[[-0.9928098320960999, 0.45974302291870117, 0.7807261347770691, 0.0018053277162835002, -0.7729588150978088, 0.9312838912010193, 0.943327009677887, -0.7920730710029602, -0.15632613003253937, -0.990053653717041, -0.8767107129096985, -0.329061359167099, 0.15701942145824432, -0.9506464004516602, 0.4115751087665558, -0.6638087034225464, -0.14610087871551514, -0.9357630014419556, 0.9596092104911804, -0.07695254683494568]]",2
9,30,3.9525070190429688,"[-0.5499176383018494, 0.9413687586784363, -0.3355029821395874, 0.0060999165289103985, -0.6390233635902405, 0.027641603723168373, 0.955722451210022, 0.3893846571445465, 0.8803028464317322, -1.0, 0.42983394861221313, -0.7864935994148254, 0.8753578066825867, 0.6591036319732666, -0.09162880480289459, 0.9545652270317078, 0.6910488605499268, -0.2833206057548523, -0.040693510323762894, -0.5131089687347412]",3.8260087966918945,"[[-0.9928098320960999, 0.45974302291870117, 0.7807261347770691, 0.0018053277162835002, -0.7729588150978088, 0.9312838912010193, 0.943327009677887, -0.7920730710029602, -0.15632613003253937, -0.990053653717041, -0.8767107129096985, -0.329061359167099, 0.15701942145824432, -0.9506464004516602, 0.4115751087665558, -0.6638087034225464, -0.14610087871551514, -0.9357630014419556, 0.9596092104911804, -0.07695254683494568]]",2
