iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,3.9844517707824707,"[-0.8727266788482666, 0.8258916139602661, 0.966503381729126, 0.1488407850265503, -0.5938438177108765, 0.8134275674819946, -0.33153820037841797, -0.09528481960296631, 0.06691861152648926, 0.5698766708374023, 0.9090132713317871, -0.6127620935440063, 0.8286477327346802, -0.826308012008667, 0.23593735694885254, 0.2538883686065674, -0.6231963634490967, -0.7317522764205933, 0.31907057762145996, 0.5778274536132812]",3.9844517707824707,"[[-0.8727266788482666, 0.8258916139602661, 0.966503381729126, 0.1488407850265503, -0.5938438177108765, 0.8134275674819946, -0.33153820037841797, -0.09528481960296631, 0.06691861152648926, 0.5698766708374023, 0.9090132713317871, -0.6127620935440063, 0.8286477327346802, -0.826308012008667, 0.23593735694885254, 0.2538883686065674, -0.6231963634490967, -0.7317522764205933, 0.31907057762145996, 0.5778274536132812]]",1
1,22,3.974586248397827,"[-0.9971945285797119, 0.1622617244720459, -0.37541818618774414, -0.3262176513671875, -0.5814473628997803, 0.28766441345214844, 0.31637024879455566, -0.523987889289856, -0.03475916385650635, 0.5025352239608765, -0.9967725276947021, 0.22800052165985107, -0.2623358964920044, -0.8351384401321411, 0.6405289173126221, -0.7467334270477295, 0.9844633340835571, -0.6922613382339478, 0.686569094657898, 0.1772090196609497]",3.974586248397827,"[[-0.9971945285797119, 0.1622617244720459, -0.37541818618774414, -0.3262176513671875, -0.5814473628997803, 0.28766441345214844, 0.31637024879455566, -0.523987889289856, -0.03475916385650635, 0.5025352239608765, -0.9967725276947021, 0.22800052165985107, -0.2623358964920044, -0.8351384401321411, 0.6405289173126221, -0.7467334270477295, 0.9844633340835571, -0.6922613382339478, 0.686569094657898, 0.1772090196609497]]",2
2,23,3.875393867492676,"[0.7258998155593872, 0.11790859699249268, -0.3733590841293335, -0.8393381834030151, 0.1629323959350586, -0.12123751640319824, 0.9641923904418945, 0.7249983549118042, -0.6882977485656738, -0.3224034309387207, 0.2650820016860962, -0.9807511568069458, -0.9443041086196899, 0.5262694358825684, 0.4375801086425781, 0.6713423728942871, 0.08199059963226318, 0.26274728775024414, 0.948055624961853, 0.2745586633682251]",3.875393867492676,"[[0.7258998155593872, 0.11790859699249268, -0.3733590841293335, -0.8393381834030151, 0.1629323959350586, -0.12123751640319824, 0.9641923904418945, 0.7249983549118042, -0.6882977485656738, -0.3224034309387207, 0.2650820016860962, -0.9807511568069458, -0.9443041086196899, 0.5262694358825684, 0.4375801086425781, 0.6713423728942871, 0.08199059963226318, 0.26274728775024414, 0.948055624961853, 0.2745586633682251]]",3
3,24,3.670315742492676,"[0.8765231370925903, -0.8755056858062744, 0.1595020294189453, 0.320345401763916, 0.6370617151260376, 0.8393089771270752, 0.6405837535858154, 0.030734539031982422, -0.6660054922103882, 0.46361804008483887, -0.22259938716888428, 0.011916160583496094, -0.13949084281921387, -0.8874057531356812, -0.9061434268951416, -0.8758361339569092, 0.9799965620040894, -0.20221447944641113, 0.7791039943695068, 0.10418999195098877]",3.670315742492676,"[[0.8765231370925903, -0.8755056858062744, 0.1595020294189453, 0.320345401763916, 0.6370617151260376, 0.8393089771270752, 0.6405837535858154, 0.030734539031982422, -0.6660054922103882, 0.46361804008483887, -0.22259938716888428, 0.011916160583496094, -0.13949084281921387, -0.8874057531356812, -0.9061434268951416, -0.8758361339569092, 0.9799965620040894, -0.20221447944641113, 0.7791039943695068, 0.10418999195098877]]",4
4,25,4.122686862945557,"[0.5504615306854248, -0.9995948076248169, 0.8034427165985107, -0.9021275043487549, 0.024384737014770508, -0.9562453031539917, 0.30124783515930176, -0.2620816230773926, -0.45245063304901123, 0.727963924407959, 0.7707445621490479, -0.15382754802703857, -0.806033730506897, 0.6457159519195557, -0.3970158100128174, 0.3129774332046509, -0.8356754779815674, -0.3591815233230591, -0.5642458200454712, 0.7218714952468872]",3.670315742492676,"[[0.8765231370925903, -0.8755056858062744, 0.1595020294189453, 0.320345401763916, 0.6370617151260376, 0.8393089771270752, 0.6405837535858154, 0.030734539031982422, -0.6660054922103882, 0.46361804008483887, -0.22259938716888428, 0.011916160583496094, -0.13949084281921387, -0.8874057531356812, -0.9061434268951416, -0.8758361339569092, 0.9799965620040894, -0.20221447944641113, 0.7791039943695068, 0.10418999195098877]]",4
5,26,4.00514554977417,"[0.760235071182251, -0.7403066158294678, 0.2539905309677124, -0.8693135976791382, -0.5102697610855103, 0.13266193866729736, 0.9239829778671265, 0.9254939556121826, -0.7919729948043823, 0.031848788261413574, -0.3511972427368164, -0.3541138172149658, 0.5658551454544067, -0.627070426940918, -0.8397871255874634, 0.7075328826904297, -0.3882390260696411, -0.28714632987976074, -0.13175177574157715, -0.9775792360305786]",3.670315742492676,"[[0.8765231370925903, -0.8755056858062744, 0.1595020294189453, 0.320345401763916, 0.6370617151260376, 0.8393089771270752, 0.6405837535858154, 0.030734539031982422, -0.6660054922103882, 0.46361804008483887, -0.22259938716888428, 0.011916160583496094, -0.13949084281921387, -0.8874057531356812, -0.9061434268951416, -0.8758361339569092, 0.9799965620040894, -0.20221447944641113, 0.7791039943695068, 0.10418999195098877]]",4
6,27,3.972951650619507,"[0.6095659732818604, -0.030169129371643066, 0.026892423629760742, 0.45534181594848633, 0.887988805770874, 0.6163132190704346, -0.7074055671691895, 0.46968257427215576, -0.025469064712524414, -0.03667891025543213, -0.8662105798721313, 0.4325064420700073, -0.9939804077148438, -0.2502487897872925, -0.7771135568618774, 0.7005652189254761, -0.37170231342315674, 0.6713510751724243, 0.8054505586624146, -0.5931001901626587]",3.670315742492676,"[[0.8765231370925903, -0.8755056858062744, 0.1595020294189453, 0.320345401763916, 0.6370617151260376, 0.8393089771270752, 0.6405837535858154, 0.030734539031982422, -0.6660054922103882, 0.46361804008483887, -0.22259938716888428, 0.011916160583496094, -0.13949084281921387, -0.8874057531356812, -0.9061434268951416, -0.8758361339569092, 0.9799965620040894, -0.20221447944641113, 0.7791039943695068, 0.10418999195098877]]",4
7,28,4.073268413543701,"[-0.6823285818099976, 0.47995030879974365, -0.6892490386962891, -0.5381091833114624, -0.5944762229919434, 0.021789908409118652, 0.523091197013855, 0.44012880325317383, -0.8262591361999512, 0.9006533622741699, -0.7666581869125366, -0.8473459482192993, 0.46922922134399414, -0.11020195484161377, -0.8995193243026733, 0.44267022609710693, 0.06707775592803955, 0.8784140348434448, 0.775692343711853, 0.083365797996521]",3.670315742492676,"[[0.8765231370925903, -0.8755056858062744, 0.1595020294189453, 0.320345401763916, 0.6370617151260376, 0.8393089771270752, 0.6405837535858154, 0.030734539031982422, -0.6660054922103882, 0.46361804008483887, -0.22259938716888428, 0.011916160583496094, -0.13949084281921387, -0.8874057531356812, -0.9061434268951416, -0.8758361339569092, 0.9799965620040894, -0.20221447944641113, 0.7791039943695068, 0.10418999195098877]]",4
8,29,3.9887847900390625,"[-0.9315016269683838, 0.6242430210113525, -0.686974287033081, -0.15251195430755615, 0.9248769283294678, -0.4558004140853882, 0.850584864616394, -0.24190449714660645, 0.44920098781585693, 0.16421234607696533, -0.9796668291091919, -0.10073411464691162, -0.5464179515838623, -0.805854082107544, -0.9629361629486084, 0.3215808868408203, -0.6224031448364258, -0.8817025423049927, 0.43751370906829834, -0.05231821537017822]",3.670315742492676,"[[0.8765231370925903, -0.8755056858062744, 0.1595020294189453, 0.320345401763916, 0.6370617151260376, 0.8393089771270752, 0.6405837535858154, 0.030734539031982422, -0.6660054922103882, 0.46361804008483887, -0.22259938716888428, 0.011916160583496094, -0.13949084281921387, -0.8874057531356812, -0.9061434268951416, -0.8758361339569092, 0.9799965620040894, -0.20221447944641113, 0.7791039943695068, 0.10418999195098877]]",4
9,30,4.065191745758057,"[-0.7587385177612305, -0.9277410507202148, -0.8453624248504639, -0.8022313117980957, -0.9895927906036377, -0.5684205293655396, 0.4380990266799927, -0.04791891574859619, 0.2427525520324707, 0.5527080297470093, -0.19346320629119873, 0.843555212020874, -0.567094087600708, 0.23331594467163086, -0.8399627208709717, -0.5440791845321655, 0.10034525394439697, 0.7011771202087402, 0.7812167406082153, 0.3728816509246826]",3.670315742492676,"[[0.8765231370925903, -0.8755056858062744, 0.1595020294189453, 0.320345401763916, 0.6370617151260376, 0.8393089771270752, 0.6405837535858154, 0.030734539031982422, -0.6660054922103882, 0.46361804008483887, -0.22259938716888428, 0.011916160583496094, -0.13949084281921387, -0.8874057531356812, -0.9061434268951416, -0.8758361339569092, 0.9799965620040894, -0.20221447944641113, 0.7791039943695068, 0.10418999195098877]]",4
