iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,4.090500831604004,"[-0.36325836181640625, -0.10914206504821777, -0.844619870185852, -0.5236079692840576, -0.7419489622116089, -0.8234724998474121, 0.6447345018386841, -0.7718408107757568, -0.15961623191833496, -0.1245872974395752, 0.777915358543396, -0.35092031955718994, -0.6470682621002197, 0.9315582513809204, -0.9579331874847412, 0.9577116966247559, 0.6053621768951416, 0.32171785831451416, -0.2743558883666992, -0.4795752763748169]",4.090500831604004,"[[-0.36325836181640625, -0.10914206504821777, -0.844619870185852, -0.5236079692840576, -0.7419489622116089, -0.8234724998474121, 0.6447345018386841, -0.7718408107757568, -0.15961623191833496, -0.1245872974395752, 0.777915358543396, -0.35092031955718994, -0.6470682621002197, 0.9315582513809204, -0.9579331874847412, 0.9577116966247559, 0.6053621768951416, 0.32171785831451416, -0.2743558883666992, -0.4795752763748169]]",1
1,22,3.9277026653289795,"[0.5634380578994751, 0.03591763973236084, 0.7734326124191284, -0.39515507221221924, 0.9443875551223755, -0.09330976009368896, 0.7584855556488037, -0.29437434673309326, 0.9252749681472778, 0.08665597438812256, -0.9422366619110107, 0.8298819065093994, 0.24899804592132568, 0.6601265668869019, -0.26494860649108887, -0.4911843538284302, -0.985073447227478, -0.8860304355621338, -0.8687925338745117, 0.8300625085830688]",3.9277026653289795,"[[0.5634380578994751, 0.03591763973236084, 0.7734326124191284, -0.39515507221221924, 0.9443875551223755, -0.09330976009368896, 0.7584855556488037, -0.29437434673309326, 0.9252749681472778, 0.08665597438812256, -0.9422366619110107, 0.8298819065093994, 0.24899804592132568, 0.6601265668869019, -0.26494860649108887, -0.4911843538284302, -0.985073447227478, -0.8860304355621338, -0.8687925338745117, 0.8300625085830688]]",2
2,23,4.20712423324585,"[-0.7190772294998169, -0.6447855234146118, -0.7373976707458496, -0.8609821796417236, 0.46247124671936035, -0.5058121681213379, 0.0040198564529418945, 0.9236375093460083, 0.5091780424118042, -0.16076385974884033, 0.39461398124694824, -0.32791268825531006, 0.5824869871139526, 0.9283608198165894, 0.23791730403900146, -0.9204237461090088, 0.9909727573394775, -0.9335733652114868, 0.4003567695617676, 0.5897047519683838]",3.9277026653289795,"[[0.5634380578994751, 0.03591763973236084, 0.7734326124191284, -0.39515507221221924, 0.9443875551223755, -0.09330976009368896, 0.7584855556488037, -0.29437434673309326, 0.9252749681472778, 0.08665597438812256, -0.9422366619110107, 0.8298819065093994, 0.24899804592132568, 0.6601265668869019, -0.26494860649108887, -0.4911843538284302, -0.985073447227478, -0.8860304355621338, -0.8687925338745117, 0.8300625085830688]]",2
3,24,4.09899377822876,"[-0.7767449617385864, -0.6451531648635864, 0.1387946605682373, -0.9252873659133911, 0.5031976699829102, -0.8201196193695068, -0.85622239112854, -0.9682971239089966, 0.19329845905303955, 0.5050572156906128, -0.5856367349624634, 0.8950774669647217, -0.0675729513168335, 0.8814400434494019, -0.4474884271621704, 0.16586816310882568, -0.8159598112106323, 0.4550210237503052, 0.8704121112823486, 0.6568804979324341]",3.9277026653289795,"[[0.5634380578994751, 0.03591763973236084, 0.7734326124191284, -0.39515507221221924, 0.9443875551223755, -0.09330976009368896, 0.7584855556488037, -0.29437434673309326, 0.9252749681472778, 0.08665597438812256, -0.9422366619110107, 0.8298819065093994, 0.24899804592132568, 0.6601265668869019, -0.26494860649108887, -0.4911843538284302, -0.985073447227478, -0.8860304355621338, -0.8687925338745117, 0.8300625085830688]]",2
4,25,3.9978199005126953,"[-0.34752047061920166, 0.7387251853942871, 0.06728124618530273, 0.8794842958450317, -0.25796186923980713, 0.37942659854888916, 0.21810734272003174, 0.6095815896987915, -0.46939098834991455, -0.10818135738372803, 0.689886212348938, -0.36046290397644043, -0.913740873336792, -0.7357841730117798, -0.6995370388031006, -0.9408007860183716, 0.42649340629577637, 0.9767554998397827, 0.7869194746017456, -0.14425742626190186]",3.9277026653289795,"[[0.5634380578994751, 0.03591763973236084, 0.7734326124191284, -0.39515507221221924, 0.9443875551223755, -0.09330976009368896, 0.7584855556488037, -0.29437434673309326, 0.9252749681472778, 0.08665597438812256, -0.9422366619110107, 0.8298819065093994, 0.24899804592132568, 0.6601265668869019, -0.26494860649108887, -0.4911843538284302, -0.985073447227478, -0.8860304355621338, -0.8687925338745117, 0.8300625085830688]]",2
5,26,4.21937894821167,"[-0.14595890045166016, 0.15050840377807617, 0.4139348268508911, 0.758465051651001, 0.8171106576919556, -0.49043381214141846, 0.4050168991088867, -0.851178765296936, -0.7106717824935913, 0.5086072683334351, -0.8253635168075562, -0.5391883850097656, 0.34477436542510986, -0.571481466293335, -0.18337607383728027, 0.8090988397598267, -0.8233577013015747, 0.9952956438064575, 0.5470138788223267, 0.9864242076873779]",3.9277026653289795,"[[0.5634380578994751, 0.03591763973236084, 0.7734326124191284, -0.39515507221221924, 0.9443875551223755, -0.09330976009368896, 0.7584855556488037, -0.29437434673309326, 0.9252749681472778, 0.08665597438812256, -0.9422366619110107, 0.8298819065093994, 0.24899804592132568, 0.6601265668869019, -0.26494860649108887, -0.4911843538284302, -0.985073447227478, -0.8860304355621338, -0.8687925338745117, 0.8300625085830688]]",2
6,27,4.130634307861328,"[-0.42717278003692627, -0.7596997022628784, -0.7636096477508545, -0.7522305250167847, 0.15357649326324463, 0.9777897596359253, 0.9275474548339844, -0.5752832889556885, 0.6836082935333252, -0.8234618902206421, -0.6099115610122681, -0.977245569229126, -0.7590124607086182, -0.2716519832611084, -0.6536277532577515, -0.9479373693466187, 0.14743411540985107, 0.9220618009567261, -0.15542030334472656, -0.312552809715271]",3.9277026653289795,"[[0.5634380578994751, 0.03591763973236084, 0.7734326124191284, -0.39515507221221924, 0.9443875551223755, -0.09330976009368896, 0.7584855556488037, -0.29437434673309326, 0.9252749681472778, 0.08665597438812256, -0.9422366619110107, 0.8298819065093994, 0.24899804592132568, 0.6601265668869019, -0.26494860649108887, -0.4911843538284302, -0.985073447227478, -0.8860304355621338, -0.8687925338745117, 0.8300625085830688]]",2
7,28,4.191725254058838,"[0.041390299797058105, -0.9621645212173462, 0.5133936405181885, -0.492376446723938, -0.44172990322113037, 0.9394463300704956, 0.30534839630126953, 0.5767562389373779, -0.8006305694580078, -0.7206872701644897, -0.6048314571380615, -0.273526668548584, -0.8368592262268066, -0.8408486843109131, -0.47671282291412354, -0.0890510082244873, 0.9576824903488159, -0.7567368745803833, 0.9099040031433105, 0.905288577079773]",3.9277026653289795,"[[0.5634380578994751, 0.03591763973236084, 0.7734326124191284, -0.39515507221221924, 0.9443875551223755, -0.09330976009368896, 0.7584855556488037, -0.29437434673309326, 0.9252749681472778, 0.08665597438812256, -0.9422366619110107, 0.8298819065093994, 0.24899804592132568, 0.6601265668869019, -0.26494860649108887, -0.4911843538284302, -0.985073447227478, -0.8860304355621338, -0.8687925338745117, 0.8300625085830688]]",2
8,29,3.9768195152282715,"[0.11241471767425537, 0.5631967782974243, 0.7122416496276855, 0.4596080780029297, 0.9245452880859375, -0.5896100997924805, 0.5635418891906738, 0.5492650270462036, -0.49570369720458984, -0.33161211013793945, 0.101265549659729, -0.7658369541168213, -0.3272210359573364, 0.07609379291534424, 0.9824285507202148, 0.09323418140411377, -0.9883263111114502, -0.21998441219329834, 0.7934060096740723, -0.8865319490432739]",3.9277026653289795,"[[0.5634380578994751, 0.03591763973236084, 0.7734326124191284, -0.39515507221221924, 0.9443875551223755, -0.09330976009368896, 0.7584855556488037, -0.29437434673309326, 0.9252749681472778, 0.08665597438812256, -0.9422366619110107, 0.8298819065093994, 0.24899804592132568, 0.6601265668869019, -0.26494860649108887, -0.4911843538284302, -0.985073447227478, -0.8860304355621338, -0.8687925338745117, 0.8300625085830688]]",2
9,30,3.6775271892547607,"[-0.09243738651275635, -0.7510887384414673, -0.025435328483581543, 0.9230458736419678, -0.6281448602676392, -0.1574631929397583, -0.29643821716308594, -0.06174004077911377, -0.8217320442199707, -0.8152049779891968, 0.8557679653167725, -0.867854118347168, -0.024750947952270508, 0.9242184162139893, 0.49380671977996826, 0.9655975103378296, -0.954197883605957, 0.17330777645111084, 0.6104288101196289, 0.32574546337127686]",3.6775271892547607,"[[-0.09243738651275635, -0.7510887384414673, -0.025435328483581543, 0.9230458736419678, -0.6281448602676392, -0.1574631929397583, -0.29643821716308594, -0.06174004077911377, -0.8217320442199707, -0.8152049779891968, 0.8557679653167725, -0.867854118347168, -0.024750947952270508, 0.9242184162139893, 0.49380671977996826, 0.9655975103378296, -0.954197883605957, 0.17330777645111084, 0.6104288101196289, 0.32574546337127686]]",3
