iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,4.37676477432251,"[-0.6200843453407288, -0.9471920132637024, 0.3284875750541687, -0.9403826594352722, -0.7638113498687744, 0.9148988723754883, -0.14993155002593994, -0.603916347026825, -0.6562561392784119, -0.9635872840881348, -0.7824545502662659, -0.9250146150588989, 0.5177863240242004, 0.9844173192977905, 0.46941670775413513, 0.453178346157074, -0.32059863209724426, -0.6256382465362549, 0.7470183968544006, -0.9208036065101624]",4.37676477432251,"[[-0.6200843453407288, -0.9471920132637024, 0.3284875750541687, -0.9403826594352722, -0.7638113498687744, 0.9148988723754883, -0.14993155002593994, -0.603916347026825, -0.6562561392784119, -0.9635872840881348, -0.7824545502662659, -0.9250146150588989, 0.5177863240242004, 0.9844173192977905, 0.46941670775413513, 0.453178346157074, -0.32059863209724426, -0.6256382465362549, 0.7470183968544006, -0.9208036065101624]]",1
1,22,4.050162315368652,"[0.2721022069454193, -0.8951980471611023, 0.7957796454429626, 0.7090393304824829, 0.7351512908935547, -0.8878169059753418, -0.1394806057214737, 0.02810578979551792, -0.25752073526382446, 0.6509525775909424, -0.9446839690208435, 0.16078922152519226, -0.9560222625732422, -0.5519723296165466, -0.7342788577079773, -0.9435505270957947, -0.3433961570262909, 0.5291079878807068, 0.4655952453613281, 1.0]",4.050162315368652,"[[0.2721022069454193, -0.8951980471611023, 0.7957796454429626, 0.7090393304824829, 0.7351512908935547, -0.8878169059753418, -0.1394806057214737, 0.02810578979551792, -0.25752073526382446, 0.6509525775909424, -0.9446839690208435, 0.16078922152519226, -0.9560222625732422, -0.5519723296165466, -0.7342788577079773, -0.9435505270957947, -0.3433961570262909, 0.5291079878807068, 0.4655952453613281, 1.0]]",2
2,23,4.097200393676758,"[-0.4795417785644531, -0.7589178681373596, 0.9643672108650208, 0.31727275252342224, 0.7789352536201477, -0.8313141465187073, 0.2346729189157486, -0.4963212013244629, -0.8249711990356445, -0.5223246812820435, 0.9448165893554688, -0.9094138741493225, -0.8565352559089661, 1.0, -0.5515037178993225, 0.2886573076248169, 0.9082797169685364, 0.24461860954761505, 0.16567547619342804, 0.13332095742225647]",4.050162315368652,"[[0.2721022069454193, -0.8951980471611023, 0.7957796454429626, 0.7090393304824829, 0.7351512908935547, -0.8878169059753418, -0.1394806057214737, 0.02810578979551792, -0.25752073526382446, 0.6509525775909424, -0.9446839690208435, 0.16078922152519226, -0.9560222625732422, -0.5519723296165466, -0.7342788577079773, -0.9435505270957947, -0.3433961570262909, 0.5291079878807068, 0.4655952453613281, 1.0]]",2
3,24,4.069884300231934,"[0.39348840713500977, 0.13694831728935242, 0.9938160181045532, -0.5861565470695496, -0.6337749361991882, -0.49522101879119873, 0.9453209638595581, 0.9999294877052307, 0.9430374503135681, -0.9363849759101868, -0.6855800747871399, -0.7344421148300171, 0.03718625381588936, -0.610805332660675, 0.4166974723339081, -0.16868965327739716, -0.25793972611427307, 0.034335605800151825, 0.5358321070671082, -0.4974522888660431]",4.050162315368652,"[[0.2721022069454193, -0.8951980471611023, 0.7957796454429626, 0.7090393304824829, 0.7351512908935547, -0.8878169059753418, -0.1394806057214737, 0.02810578979551792, -0.25752073526382446, 0.6509525775909424, -0.9446839690208435, 0.16078922152519226, -0.9560222625732422, -0.5519723296165466, -0.7342788577079773, -0.9435505270957947, -0.3433961570262909, 0.5291079878807068, 0.4655952453613281, 1.0]]",2
4,25,4.094254016876221,"[-0.8835134506225586, -0.1821691244840622, -0.5049763321876526, -0.714001476764679, -0.677751898765564, 0.9078812003135681, -0.19057954847812653, 0.8485903739929199, -0.3069208264350891, 0.13519126176834106, -0.7839967012405396, 0.5949625372886658, 0.6379228234291077, -0.7688790559768677, 0.93284672498703, -0.06117838993668556, -0.8958025574684143, 0.7214693427085876, 0.7837733626365662, -0.6224982738494873]",4.050162315368652,"[[0.2721022069454193, -0.8951980471611023, 0.7957796454429626, 0.7090393304824829, 0.7351512908935547, -0.8878169059753418, -0.1394806057214737, 0.02810578979551792, -0.25752073526382446, 0.6509525775909424, -0.9446839690208435, 0.16078922152519226, -0.9560222625732422, -0.5519723296165466, -0.7342788577079773, -0.9435505270957947, -0.3433961570262909, 0.5291079878807068, 0.4655952453613281, 1.0]]",2
5,26,3.6745920181274414,"[0.08563724160194397, -0.11564983427524567, 0.9050500988960266, 0.8430390954017639, -0.8857097029685974, -0.365799218416214, -0.10208480805158615, 0.08125298470258713, -0.2858069837093353, -0.034405071288347244, 0.6677252054214478, 0.8673921823501587, -0.7864819169044495, 0.7241132259368896, 0.32413458824157715, 0.9924542903900146, -0.9657855033874512, -0.8518432378768921, 0.8628022074699402, 0.3672977685928345]",3.6745920181274414,"[[0.08563724160194397, -0.11564983427524567, 0.9050500988960266, 0.8430390954017639, -0.8857097029685974, -0.365799218416214, -0.10208480805158615, 0.08125298470258713, -0.2858069837093353, -0.034405071288347244, 0.6677252054214478, 0.8673921823501587, -0.7864819169044495, 0.7241132259368896, 0.32413458824157715, 0.9924542903900146, -0.9657855033874512, -0.8518432378768921, 0.8628022074699402, 0.3672977685928345]]",3
6,27,4.274402141571045,"[-0.6544446349143982, 0.7534117698669434, 0.7188711166381836, 0.8482945561408997, 1.0, -0.27471724152565, -0.8787553310394287, 0.9432187080383301, -0.6764194965362549, -0.17916984856128693, -0.5010843276977539, -0.11999958753585815, 0.28263169527053833, -0.6098307371139526, -0.6307204365730286, -0.9730754494667053, -0.9906132221221924, 0.40066203474998474, 0.628312349319458, -0.9868371486663818]",3.6745920181274414,"[[0.08563724160194397, -0.11564983427524567, 0.9050500988960266, 0.8430390954017639, -0.8857097029685974, -0.365799218416214, -0.10208480805158615, 0.08125298470258713, -0.2858069837093353, -0.034405071288347244, 0.6677252054214478, 0.8673921823501587, -0.7864819169044495, 0.7241132259368896, 0.32413458824157715, 0.9924542903900146, -0.9657855033874512, -0.8518432378768921, 0.8628022074699402, 0.3672977685928345]]",3
7,28,4.412092685699463,"[0.9609352946281433, 0.3232453465461731, -0.3605270981788635, 0.6849967241287231, -0.381103515625, -0.7429011464118958, -0.6079907417297363, 0.37345895171165466, -0.9783281087875366, 0.3507188856601715, -0.9277682900428772, -0.9763572812080383, -0.6850979328155518, 0.6698619723320007, -0.696696400642395, 0.849442720413208, 1.0, 0.9943621754646301, -0.661364734172821, 0.8739539384841919]",3.6745920181274414,"[[0.08563724160194397, -0.11564983427524567, 0.9050500988960266, 0.8430390954017639, -0.8857097029685974, -0.365799218416214, -0.10208480805158615, 0.08125298470258713, -0.2858069837093353, -0.034405071288347244, 0.6677252054214478, 0.8673921823501587, -0.7864819169044495, 0.7241132259368896, 0.32413458824157715, 0.9924542903900146, -0.9657855033874512, -0.8518432378768921, 0.8628022074699402, 0.3672977685928345]]",3
8,29,4.092152118682861,"[-0.11877894401550293, 0.2754104435443878, -0.9613159894943237, 0.8308419585227966, 0.24376988410949707, -0.9547092914581299, 0.09212832897901535, 0.9837057590484619, -0.7638275027275085, -0.9007236361503601, 0.3465252220630646, 0.3147192597389221, 0.5891003012657166, -0.6718966364860535, -0.8247310519218445, 0.7334969639778137, -0.8910341858863831, 0.5515903234481812, 0.5818905234336853, 0.9300808906555176]",3.6745920181274414,"[[0.08563724160194397, -0.11564983427524567, 0.9050500988960266, 0.8430390954017639, -0.8857097029685974, -0.365799218416214, -0.10208480805158615, 0.08125298470258713, -0.2858069837093353, -0.034405071288347244, 0.6677252054214478, 0.8673921823501587, -0.7864819169044495, 0.7241132259368896, 0.32413458824157715, 0.9924542903900146, -0.9657855033874512, -0.8518432378768921, 0.8628022074699402, 0.3672977685928345]]",3
9,30,4.075901508331299,"[0.10162794589996338, 0.7848107218742371, -0.7037541270256042, -0.9237778186798096, -0.6469117403030396, 0.7128033638000488, 0.900763988494873, -0.5201005339622498, 0.6748862862586975, -0.6106621026992798, -0.6722646355628967, -0.09826324880123138, 0.9439612627029419, 0.5946491956710815, -0.7958971858024597, -0.3092476725578308, 0.09239616990089417, -0.4748147428035736, -0.05551723390817642, 0.5678406357765198]",3.6745920181274414,"[[0.08563724160194397, -0.11564983427524567, 0.9050500988960266, 0.8430390954017639, -0.8857097029685974, -0.365799218416214, -0.10208480805158615, 0.08125298470258713, -0.2858069837093353, -0.034405071288347244, 0.6677252054214478, 0.8673921823501587, -0.7864819169044495, 0.7241132259368896, 0.32413458824157715, 0.9924542903900146, -0.9657855033874512, -0.8518432378768921, 0.8628022074699402, 0.3672977685928345]]",3
10,31,4.011833190917969,"[-0.4830681085586548, 0.6685049533843994, -0.8185109496116638, 0.8713013529777527, -0.6594051122665405, -0.8714708685874939, -0.9751067757606506, -0.6993259191513062, 0.18597720563411713, 0.13086843490600586, -0.8376265168190002, 0.04413389787077904, 1.0, -0.13029557466506958, -0.2960607409477234, -0.9376996159553528, 0.9409866333007812, 0.7264063954353333, -0.7384116649627686, 0.7397866249084473]",3.6745920181274414,"[[0.08563724160194397, -0.11564983427524567, 0.9050500988960266, 0.8430390954017639, -0.8857097029685974, -0.365799218416214, -0.10208480805158615, 0.08125298470258713, -0.2858069837093353, -0.034405071288347244, 0.6677252054214478, 0.8673921823501587, -0.7864819169044495, 0.7241132259368896, 0.32413458824157715, 0.9924542903900146, -0.9657855033874512, -0.8518432378768921, 0.8628022074699402, 0.3672977685928345]]",3
11,32,3.7955281734466553,"[0.062327153980731964, -0.3367343246936798, -0.9872462749481201, -0.9733026027679443, 0.7829189896583557, 0.2257016897201538, -0.8764503002166748, -0.6986648440361023, 0.017259377986192703, -0.08106130361557007, -0.5183215141296387, 0.9562609195709229, 0.8867062330245972, 0.9374101161956787, -0.04691703990101814, 0.34539011120796204, 0.8174169063568115, -0.7516716718673706, 0.7020918726921082, -0.9668388366699219]",3.6745920181274414,"[[0.08563724160194397, -0.11564983427524567, 0.9050500988960266, 0.8430390954017639, -0.8857097029685974, -0.365799218416214, -0.10208480805158615, 0.08125298470258713, -0.2858069837093353, -0.034405071288347244, 0.6677252054214478, 0.8673921823501587, -0.7864819169044495, 0.7241132259368896, 0.32413458824157715, 0.9924542903900146, -0.9657855033874512, -0.8518432378768921, 0.8628022074699402, 0.3672977685928345]]",3
12,33,3.8975930213928223,"[-0.3383037745952606, -0.08680026233196259, 0.3529452979564667, -0.7183865308761597, -0.07246936857700348, -0.06099611520767212, -0.9404250383377075, -0.3065676689147949, 0.2905554473400116, -0.5745431184768677, -0.45186853408813477, -0.9686442613601685, -0.8294848799705505, -0.7538537979125977, -0.8910659551620483, 0.804949164390564, 0.9498696327209473, 0.1261981874704361, 0.7280066609382629, 0.6905241012573242]",3.6745920181274414,"[[0.08563724160194397, -0.11564983427524567, 0.9050500988960266, 0.8430390954017639, -0.8857097029685974, -0.365799218416214, -0.10208480805158615, 0.08125298470258713, -0.2858069837093353, -0.034405071288347244, 0.6677252054214478, 0.8673921823501587, -0.7864819169044495, 0.7241132259368896, 0.32413458824157715, 0.9924542903900146, -0.9657855033874512, -0.8518432378768921, 0.8628022074699402, 0.3672977685928345]]",3
13,34,4.143178939819336,"[0.8947778940200806, -0.1518206149339676, -0.7534316182136536, -0.7340646386146545, 0.9187222719192505, 0.28446197509765625, -0.933617889881134, 0.7603804469108582, -0.8571215867996216, 0.9264203310012817, -0.6785405874252319, 0.12615349888801575, 0.6305409669876099, 0.501207172870636, -0.4729331433773041, -0.970896303653717, 0.8565176129341125, -0.7658981680870056, 0.22817306220531464, 0.9150933623313904]",3.6745920181274414,"[[0.08563724160194397, -0.11564983427524567, 0.9050500988960266, 0.8430390954017639, -0.8857097029685974, -0.365799218416214, -0.10208480805158615, 0.08125298470258713, -0.2858069837093353, -0.034405071288347244, 0.6677252054214478, 0.8673921823501587, -0.7864819169044495, 0.7241132259368896, 0.32413458824157715, 0.9924542903900146, -0.9657855033874512, -0.8518432378768921, 0.8628022074699402, 0.3672977685928345]]",3
