iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,3.582798719406128,"[-0.7640247344970703, -0.05805635452270508, -0.38224172592163086, -0.25984978675842285, -0.21160900592803955, 0.6333720684051514, -0.28279149532318115, -0.5476939678192139, 0.16081929206848145, -0.4781992435455322, 0.5012834072113037, -0.15259814262390137, -0.3780806064605713, -0.6964646577835083, -0.39936363697052, 0.32930314540863037, 0.3778843879699707, -0.8785731792449951, -0.16320884227752686, -0.12467169761657715]",3.582798719406128,"[[-0.7640247344970703, -0.05805635452270508, -0.38224172592163086, -0.25984978675842285, -0.21160900592803955, 0.6333720684051514, -0.28279149532318115, -0.5476939678192139, 0.16081929206848145, -0.4781992435455322, 0.5012834072113037, -0.15259814262390137, -0.3780806064605713, -0.6964646577835083, -0.39936363697052, 0.32930314540863037, 0.3778843879699707, -0.8785731792449951, -0.16320884227752686, -0.12467169761657715]]",1
1,22,3.4416451454162598,"[-0.702662467956543, -0.3870440721511841, -0.8715344667434692, 0.2905524969100952, 0.3221040964126587, 0.20483934879302979, -0.2578604221343994, -0.18500256538391113, -0.2498018741607666, 0.9442347288131714, -0.28977084159851074, 0.7813950777053833, -0.20888400077819824, -0.17323803901672363, 0.375285267829895, -0.09867238998413086, 0.5058983564376831, 0.18589186668395996, -0.7685985565185547, 0.001634359359741211]",3.4416451454162598,"[[-0.702662467956543, -0.3870440721511841, -0.8715344667434692, 0.2905524969100952, 0.3221040964126587, 0.20483934879302979, -0.2578604221343994, -0.18500256538391113, -0.2498018741607666, 0.9442347288131714, -0.28977084159851074, 0.7813950777053833, -0.20888400077819824, -0.17323803901672363, 0.375285267829895, -0.09867238998413086, 0.5058983564376831, 0.18589186668395996, -0.7685985565185547, 0.001634359359741211]]",2
2,23,3.865220308303833,"[-0.8845885992050171, 0.9813840389251709, 0.8497617244720459, 0.7781401872634888, 0.09565103054046631, -0.012801051139831543, 0.9175639152526855, 0.6930017471313477, 0.8442473411560059, 0.5645920038223267, -0.03206610679626465, 0.07276690006256104, 0.6251040697097778, 0.02296626567840576, 0.888798713684082, -0.5081219673156738, 0.5730235576629639, -0.2884916067123413, -0.5178978443145752, -0.8339842557907104]",3.4416451454162598,"[[-0.702662467956543, -0.3870440721511841, -0.8715344667434692, 0.2905524969100952, 0.3221040964126587, 0.20483934879302979, -0.2578604221343994, -0.18500256538391113, -0.2498018741607666, 0.9442347288131714, -0.28977084159851074, 0.7813950777053833, -0.20888400077819824, -0.17323803901672363, 0.375285267829895, -0.09867238998413086, 0.5058983564376831, 0.18589186668395996, -0.7685985565185547, 0.001634359359741211]]",2
3,24,4.156147003173828,"[-0.7817279100418091, 0.5501762628555298, 0.9417937994003296, -0.8044189214706421, 0.9836782217025757, 0.521714448928833, 0.6637152433395386, -0.2510608434677124, -0.06913816928863525, 0.11814248561859131, -0.5570969581604004, 0.46633803844451904, 0.20155560970306396, -0.4830056428909302, -0.8210686445236206, -0.8593813180923462, 0.5087565183639526, 0.6358999013900757, -0.44583451747894287, -0.3384145498275757]",3.4416451454162598,"[[-0.702662467956543, -0.3870440721511841, -0.8715344667434692, 0.2905524969100952, 0.3221040964126587, 0.20483934879302979, -0.2578604221343994, -0.18500256538391113, -0.2498018741607666, 0.9442347288131714, -0.28977084159851074, 0.7813950777053833, -0.20888400077819824, -0.17323803901672363, 0.375285267829895, -0.09867238998413086, 0.5058983564376831, 0.18589186668395996, -0.7685985565185547, 0.001634359359741211]]",2
4,25,4.054661750793457,"[-0.79920494556427, -0.16727471351623535, 0.8040939569473267, -0.19716930389404297, 0.3836098909378052, -0.9999821186065674, -0.606305718421936, 0.6306179761886597, -0.38178718090057373, -0.2083292007446289, 0.4378625154495239, 0.5016375780105591, 0.027277231216430664, 0.36180925369262695, 0.3629673719406128, 0.5764845609664917, 0.4222756624221802, -0.680985689163208, -0.881690502166748, -0.8622779846191406]",3.4416451454162598,"[[-0.702662467956543, -0.3870440721511841, -0.8715344667434692, 0.2905524969100952, 0.3221040964126587, 0.20483934879302979, -0.2578604221343994, -0.18500256538391113, -0.2498018741607666, 0.9442347288131714, -0.28977084159851074, 0.7813950777053833, -0.20888400077819824, -0.17323803901672363, 0.375285267829895, -0.09867238998413086, 0.5058983564376831, 0.18589186668395996, -0.7685985565185547, 0.001634359359741211]]",2
5,26,3.915257692337036,"[0.09474217891693115, -0.06841051578521729, 0.5741126537322998, 0.6135543584823608, -0.9543781280517578, 0.5949797630310059, -0.44366252422332764, 0.7402093410491943, 0.27461957931518555, 0.8909990787506104, -0.8999509811401367, 0.7152565717697144, 0.12482190132141113, 0.3361719846725464, 0.0679093599319458, -0.40749430656433105, 0.46045124530792236, 0.5070409774780273, -0.541611909866333, -0.2809586524963379]",3.4416451454162598,"[[-0.702662467956543, -0.3870440721511841, -0.8715344667434692, 0.2905524969100952, 0.3221040964126587, 0.20483934879302979, -0.2578604221343994, -0.18500256538391113, -0.2498018741607666, 0.9442347288131714, -0.28977084159851074, 0.7813950777053833, -0.20888400077819824, -0.17323803901672363, 0.375285267829895, -0.09867238998413086, 0.5058983564376831, 0.18589186668395996, -0.7685985565185547, 0.001634359359741211]]",2
6,27,3.9053781032562256,"[0.6957954168319702, 0.32910406589508057, -0.2688246965408325, -0.9904782772064209, 0.08719229698181152, 0.045789241790771484, -0.9684547185897827, -0.3132826089859009, -0.11886453628540039, 0.9967833757400513, -0.3984689712524414, -0.7294751405715942, -0.5373601913452148, -0.9127844572067261, -0.7565402984619141, -0.7571853399276733, 0.6292651891708374, 0.3761488199234009, 0.18031680583953857, -0.3512587547302246]",3.4416451454162598,"[[-0.702662467956543, -0.3870440721511841, -0.8715344667434692, 0.2905524969100952, 0.3221040964126587, 0.20483934879302979, -0.2578604221343994, -0.18500256538391113, -0.2498018741607666, 0.9442347288131714, -0.28977084159851074, 0.7813950777053833, -0.20888400077819824, -0.17323803901672363, 0.375285267829895, -0.09867238998413086, 0.5058983564376831, 0.18589186668395996, -0.7685985565185547, 0.001634359359741211]]",2
7,28,3.946476936340332,"[0.9265743494033813, 0.7591409683227539, -0.9698282480239868, 0.7488853931427002, 0.8837387561798096, -0.1809978485107422, 0.7471668720245361, 0.5459507703781128, 0.13306236267089844, 0.3040529489517212, -0.8705979585647583, 0.6416226625442505, -0.21175336837768555, 0.13487911224365234, 0.7453120946884155, -0.829719066619873, 0.04174089431762695, 0.9798645973205566, -0.3716552257537842, 0.5667707920074463]",3.4416451454162598,"[[-0.702662467956543, -0.3870440721511841, -0.8715344667434692, 0.2905524969100952, 0.3221040964126587, 0.20483934879302979, -0.2578604221343994, -0.18500256538391113, -0.2498018741607666, 0.9442347288131714, -0.28977084159851074, 0.7813950777053833, -0.20888400077819824, -0.17323803901672363, 0.375285267829895, -0.09867238998413086, 0.5058983564376831, 0.18589186668395996, -0.7685985565185547, 0.001634359359741211]]",2
8,29,3.4819278717041016,"[-0.8287789821624756, -0.5830932855606079, -0.5249513387680054, -0.0704261064529419, 0.21422350406646729, -0.29573535919189453, -0.27885866165161133, -0.22275376319885254, -0.0060596466064453125, 0.036522507667541504, 0.7784824371337891, -0.11569786071777344, -0.4028252363204956, -0.19550049304962158, -0.5181257724761963, 0.4284021854400635, 0.7387155294418335, 0.0477902889251709, 0.5585954189300537, 0.8265153169631958]",3.4416451454162598,"[[-0.702662467956543, -0.3870440721511841, -0.8715344667434692, 0.2905524969100952, 0.3221040964126587, 0.20483934879302979, -0.2578604221343994, -0.18500256538391113, -0.2498018741607666, 0.9442347288131714, -0.28977084159851074, 0.7813950777053833, -0.20888400077819824, -0.17323803901672363, 0.375285267829895, -0.09867238998413086, 0.5058983564376831, 0.18589186668395996, -0.7685985565185547, 0.001634359359741211]]",2
9,30,3.2531425952911377,"[-0.4465538263320923, -0.25741100311279297, 0.2009521722793579, -0.9017432928085327, -0.7244081497192383, 0.6676915884017944, -0.054262518882751465, -0.3426882028579712, 0.30074143409729004, -0.696426272392273, -0.22601020336151123, -0.07312488555908203, 0.08575856685638428, 0.13002550601959229, 0.8630199432373047, 0.39735615253448486, 0.05559825897216797, 0.5815980434417725, 0.06986498832702637, -0.010391592979431152]",3.2531425952911377,"[[-0.4465538263320923, -0.25741100311279297, 0.2009521722793579, -0.9017432928085327, -0.7244081497192383, 0.6676915884017944, -0.054262518882751465, -0.3426882028579712, 0.30074143409729004, -0.696426272392273, -0.22601020336151123, -0.07312488555908203, 0.08575856685638428, 0.13002550601959229, 0.8630199432373047, 0.39735615253448486, 0.05559825897216797, 0.5815980434417725, 0.06986498832702637, -0.010391592979431152]]",3
