iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,788.5546264648438,"[0.5299540758132935, 0.9898769855499268, -0.007572411559522152, -0.8991243243217468, 0.8886669874191284, -0.9287780523300171, -0.3673684597015381, 1.0, 0.6636428833007812, 0.8399711847305298]",788.5546264648438,"[[0.5299540758132935, 0.9898769855499268, -0.007572411559522152, -0.8991243243217468, 0.8886669874191284, -0.9287780523300171, -0.3673684597015381, 1.0, 0.6636428833007812, 0.8399711847305298]]",1
1,22,358.4129333496094,"[0.32475605607032776, -0.597399115562439, -0.4782431423664093, -0.48341819643974304, 0.15824206173419952, 0.8160947561264038, 0.19784529507160187, -0.25278791785240173, -0.5607376098632812, 0.9715425372123718]",358.4129333496094,"[[0.32475605607032776, -0.597399115562439, -0.4782431423664093, -0.48341819643974304, 0.15824206173419952, 0.8160947561264038, 0.19784529507160187, -0.25278791785240173, -0.5607376098632812, 0.9715425372123718]]",2
2,23,681.517578125,"[0.2245565503835678, -0.6174474954605103, -0.612920880317688, 0.9442368745803833, 0.14749875664710999, -0.8614636659622192, -0.936732292175293, 0.26298820972442627, 0.6882585287094116, 0.4868943691253662]",358.4129333496094,"[[0.32475605607032776, -0.597399115562439, -0.4782431423664093, -0.48341819643974304, 0.15824206173419952, 0.8160947561264038, 0.19784529507160187, -0.25278791785240173, -0.5607376098632812, 0.9715425372123718]]",2
3,24,439.9771728515625,"[-0.5305590629577637, -0.8822628259658813, -0.005142553709447384, 0.6408021450042725, -0.784371018409729, 0.9987545013427734, 0.5075064897537231, 0.5440953969955444, 0.400157630443573, 0.10911807417869568]",358.4129333496094,"[[0.32475605607032776, -0.597399115562439, -0.4782431423664093, -0.48341819643974304, 0.15824206173419952, 0.8160947561264038, 0.19784529507160187, -0.25278791785240173, -0.5607376098632812, 0.9715425372123718]]",2
4,25,369.0777587890625,"[0.7881648540496826, 0.8016438484191895, 0.614342451095581, -0.3226577043533325, -0.3172588348388672, 0.44247424602508545, 0.9599637985229492, -0.13559061288833618, -0.5580756664276123, -0.5612932443618774]",358.4129333496094,"[[0.32475605607032776, -0.597399115562439, -0.4782431423664093, -0.48341819643974304, 0.15824206173419952, 0.8160947561264038, 0.19784529507160187, -0.25278791785240173, -0.5607376098632812, 0.9715425372123718]]",2
5,26,670.0538330078125,"[0.5692043900489807, -0.005184020847082138, -0.873502254486084, -0.20551569759845734, 0.35055047273635864, 0.8789243102073669, -0.1752329021692276, 0.022117311134934425, 0.9545735120773315, -0.6140772104263306]",358.4129333496094,"[[0.32475605607032776, -0.597399115562439, -0.4782431423664093, -0.48341819643974304, 0.15824206173419952, 0.8160947561264038, 0.19784529507160187, -0.25278791785240173, -0.5607376098632812, 0.9715425372123718]]",2
6,27,897.2490844726562,"[0.582615315914154, 0.41037461161613464, -0.9347836971282959, -0.6510316729545593, -0.4003967046737671, -0.9898735880851746, 0.3785584270954132, -0.6122074127197266, 0.7284448146820068, -0.9545313119888306]",358.4129333496094,"[[0.32475605607032776, -0.597399115562439, -0.4782431423664093, -0.48341819643974304, 0.15824206173419952, 0.8160947561264038, 0.19784529507160187, -0.25278791785240173, -0.5607376098632812, 0.9715425372123718]]",2
7,28,411.257568359375,"[0.36062461137771606, 0.03745562210679054, 0.24290907382965088, 0.892948567867279, 0.7093394994735718, -0.9063157439231873, 0.9011432528495789, 0.5134333372116089, 0.5585165619850159, -0.7428005337715149]",358.4129333496094,"[[0.32475605607032776, -0.597399115562439, -0.4782431423664093, -0.48341819643974304, 0.15824206173419952, 0.8160947561264038, 0.19784529507160187, -0.25278791785240173, -0.5607376098632812, 0.9715425372123718]]",2
8,29,1116.4461669921875,"[0.9898921847343445, -0.16714973747730255, 0.6147591471672058, -1.0, -0.882490873336792, -0.5750951766967773, -0.5758838057518005, 0.1487593650817871, -0.9744971394538879, 0.5094138979911804]",358.4129333496094,"[[0.32475605607032776, -0.597399115562439, -0.4782431423664093, -0.48341819643974304, 0.15824206173419952, 0.8160947561264038, 0.19784529507160187, -0.25278791785240173, -0.5607376098632812, 0.9715425372123718]]",2
9,30,538.1285400390625,"[-0.9499514698982239, 0.7873938679695129, -0.35309699177742004, 0.8729212880134583, -0.4608209729194641, 0.5683791637420654, -0.2263646274805069, -0.732386589050293, 0.44321152567863464, -0.8927670121192932]",358.4129333496094,"[[0.32475605607032776, -0.597399115562439, -0.4782431423664093, -0.48341819643974304, 0.15824206173419952, 0.8160947561264038, 0.19784529507160187, -0.25278791785240173, -0.5607376098632812, 0.9715425372123718]]",2
