iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,305.35504150390625,"[0.6931720972061157, -0.3977534770965576, 0.1865617036819458, 0.052628278732299805, 0.5475602149963379, -0.4460008144378662, 0.49250495433807373, -0.04066944122314453, 0.30116820335388184, 0.030963778495788574, 0.11648178100585938, 0.3920658826828003, 0.36600565910339355, 0.2731194496154785, 0.619864821434021, 0.24289321899414062, -0.36542177200317383, -0.2594386339187622, 0.2601248025894165, 0.38964998722076416]",305.35504150390625,"[[0.6931720972061157, -0.3977534770965576, 0.1865617036819458, 0.052628278732299805, 0.5475602149963379, -0.4460008144378662, 0.49250495433807373, -0.04066944122314453, 0.30116820335388184, 0.030963778495788574, 0.11648178100585938, 0.3920658826828003, 0.36600565910339355, 0.2731194496154785, 0.619864821434021, 0.24289321899414062, -0.36542177200317383, -0.2594386339187622, 0.2601248025894165, 0.38964998722076416]]",1
1,22,204.75,"[0.5504724979400635, 0.5666272640228271, 0.8926041126251221, 0.6601417064666748, 0.5377260446548462, -0.049243807792663574, -0.2711418867111206, 0.018781542778015137, 0.544585108757019, -0.02121126651763916, 0.031217455863952637, 0.11704742908477783, 0.4191979169845581, -0.3656902313232422, 0.49911630153656006, -0.05124962329864502, -0.3213496208190918, -0.03682148456573486, 0.15711820125579834, 0.23324966430664062]",204.75,"[[0.5504724979400635, 0.5666272640228271, 0.8926041126251221, 0.6601417064666748, 0.5377260446548462, -0.049243807792663574, -0.2711418867111206, 0.018781542778015137, 0.544585108757019, -0.02121126651763916, 0.031217455863952637, 0.11704742908477783, 0.4191979169845581, -0.3656902313232422, 0.49911630153656006, -0.05124962329864502, -0.3213496208190918, -0.03682148456573486, 0.15711820125579834, 0.23324966430664062]]",2
2,23,833.4805908203125,"[-0.03718864917755127, -0.2756826877593994, 0.6096816062927246, -0.2586568593978882, -0.01909780502319336, -0.705417275428772, -0.09060370922088623, -0.6703273057937622, -0.2195512056350708, -0.0031113624572753906, 0.9108315706253052, -0.3544391393661499, 0.007743477821350098, 0.2515878677368164, 0.5262075662612915, 0.18816447257995605, -0.7402089834213257, -0.9671598672866821, 0.5870401859283447, 0.29439520835876465]",204.75,"[[0.5504724979400635, 0.5666272640228271, 0.8926041126251221, 0.6601417064666748, 0.5377260446548462, -0.049243807792663574, -0.2711418867111206, 0.018781542778015137, 0.544585108757019, -0.02121126651763916, 0.031217455863952637, 0.11704742908477783, 0.4191979169845581, -0.3656902313232422, 0.49911630153656006, -0.05124962329864502, -0.3213496208190918, -0.03682148456573486, 0.15711820125579834, 0.23324966430664062]]",2
3,24,690.9696655273438,"[0.35167932510375977, 0.0007709264755249023, -0.33680832386016846, 0.4264981746673584, -0.8666708469390869, -0.6100271940231323, -0.43070971965789795, -0.07321822643280029, 0.019100666046142578, -0.6204700469970703, 0.09364676475524902, 0.6169142723083496, 0.2523554563522339, -0.6981310844421387, -0.23179805278778076, -0.30651843547821045, 0.6167657375335693, -0.13601303100585938, 0.07636106014251709, -0.35285961627960205]",204.75,"[[0.5504724979400635, 0.5666272640228271, 0.8926041126251221, 0.6601417064666748, 0.5377260446548462, -0.049243807792663574, -0.2711418867111206, 0.018781542778015137, 0.544585108757019, -0.02121126651763916, 0.031217455863952637, 0.11704742908477783, 0.4191979169845581, -0.3656902313232422, 0.49911630153656006, -0.05124962329864502, -0.3213496208190918, -0.03682148456573486, 0.15711820125579834, 0.23324966430664062]]",2
4,25,696.0239868164062,"[-0.1823258399963379, -0.5124835968017578, -0.6577233076095581, -0.12589645385742188, -0.34633469581604004, 0.3930323123931885, 0.962028980255127, -0.1361527442932129, 0.029812097549438477, -0.5619653463363647, 0.38625526428222656, -0.10746335983276367, 0.2775930166244507, -0.17449641227722168, 0.5557188987731934, 0.1308192014694214, -0.7799113988876343, -0.5346603393554688, 0.6969009637832642, -0.0908440351486206]",204.75,"[[0.5504724979400635, 0.5666272640228271, 0.8926041126251221, 0.6601417064666748, 0.5377260446548462, -0.049243807792663574, -0.2711418867111206, 0.018781542778015137, 0.544585108757019, -0.02121126651763916, 0.031217455863952637, 0.11704742908477783, 0.4191979169845581, -0.3656902313232422, 0.49911630153656006, -0.05124962329864502, -0.3213496208190918, -0.03682148456573486, 0.15711820125579834, 0.23324966430664062]]",2
5,26,1181.9429931640625,"[0.7673397064208984, 0.19453954696655273, -0.5345889329910278, 0.2388397455215454, -0.7632744312286377, -0.49491846561431885, -0.9717990159988403, -0.23960888385772705, -0.6465431451797485, 0.062468647956848145, 0.9239457845687866, 0.1221998929977417, 0.6399608850479126, -0.6536561250686646, -0.7602394819259644, -0.36469578742980957, 0.3692208528518677, -0.3554821014404297, -0.22689568996429443, -0.21021485328674316]",204.75,"[[0.5504724979400635, 0.5666272640228271, 0.8926041126251221, 0.6601417064666748, 0.5377260446548462, -0.049243807792663574, -0.2711418867111206, 0.018781542778015137, 0.544585108757019, -0.02121126651763916, 0.031217455863952637, 0.11704742908477783, 0.4191979169845581, -0.3656902313232422, 0.49911630153656006, -0.05124962329864502, -0.3213496208190918, -0.03682148456573486, 0.15711820125579834, 0.23324966430664062]]",2
6,27,769.19580078125,"[-0.2522200345993042, 0.09898245334625244, -0.06676149368286133, 0.25121021270751953, -0.18033039569854736, -0.12650036811828613, -0.23861455917358398, 0.2860196828842163, 0.3002891540527344, -0.6012958288192749, 0.5535565614700317, 0.31528568267822266, 0.12566006183624268, -0.25579357147216797, -0.9447674751281738, -0.5398499965667725, -0.42521369457244873, 0.6636168956756592, -0.9246494770050049, -0.05821704864501953]",204.75,"[[0.5504724979400635, 0.5666272640228271, 0.8926041126251221, 0.6601417064666748, 0.5377260446548462, -0.049243807792663574, -0.2711418867111206, 0.018781542778015137, 0.544585108757019, -0.02121126651763916, 0.031217455863952637, 0.11704742908477783, 0.4191979169845581, -0.3656902313232422, 0.49911630153656006, -0.05124962329864502, -0.3213496208190918, -0.03682148456573486, 0.15711820125579834, 0.23324966430664062]]",2
7,28,411.9736328125,"[-0.04673445224761963, -0.2574772834777832, 0.3800220489501953, -0.5306543111801147, 0.11528372764587402, 0.6565746068954468, 0.2357921600341797, -0.10808730125427246, -0.5683221817016602, -0.9778923988342285, 0.5111618041992188, -0.048172593116760254, -0.1877305507659912, -0.15221691131591797, -0.010167717933654785, 0.039070725440979004, -0.09201693534851074, 0.001963496208190918, 0.5669674873352051, 0.1313701868057251]",204.75,"[[0.5504724979400635, 0.5666272640228271, 0.8926041126251221, 0.6601417064666748, 0.5377260446548462, -0.049243807792663574, -0.2711418867111206, 0.018781542778015137, 0.544585108757019, -0.02121126651763916, 0.031217455863952637, 0.11704742908477783, 0.4191979169845581, -0.3656902313232422, 0.49911630153656006, -0.05124962329864502, -0.3213496208190918, -0.03682148456573486, 0.15711820125579834, 0.23324966430664062]]",2
8,29,393.3813781738281,"[0.6890888214111328, -0.2637244462966919, -0.07355856895446777, 0.33455944061279297, 0.890621542930603, 0.5565130710601807, -0.17159759998321533, -0.04467332363128662, 0.970458984375, 0.6525835990905762, 0.1863861083984375, 0.09204018115997314, 0.4586212635040283, 0.671477198600769, 0.23074615001678467, 0.35930049419403076, 0.021860122680664062, -0.39133012294769287, -0.4636821746826172, 0.02827167510986328]",204.75,"[[0.5504724979400635, 0.5666272640228271, 0.8926041126251221, 0.6601417064666748, 0.5377260446548462, -0.049243807792663574, -0.2711418867111206, 0.018781542778015137, 0.544585108757019, -0.02121126651763916, 0.031217455863952637, 0.11704742908477783, 0.4191979169845581, -0.3656902313232422, 0.49911630153656006, -0.05124962329864502, -0.3213496208190918, -0.03682148456573486, 0.15711820125579834, 0.23324966430664062]]",2
9,30,744.9226684570312,"[0.04681193828582764, -0.7730028629302979, -0.443398118019104, -0.720964789390564, 0.697887659072876, 0.35604429244995117, 0.11107921600341797, -0.07949340343475342, 0.07404661178588867, -0.9023418426513672, -0.1719658374786377, -0.3921891450881958, -0.4789872169494629, -0.2964679002761841, -0.12692368030548096, -0.48733413219451904, -0.5582864284515381, -0.22642755508422852, -0.5044876337051392, -0.336147665977478]",204.75,"[[0.5504724979400635, 0.5666272640228271, 0.8926041126251221, 0.6601417064666748, 0.5377260446548462, -0.049243807792663574, -0.2711418867111206, 0.018781542778015137, 0.544585108757019, -0.02121126651763916, 0.031217455863952637, 0.11704742908477783, 0.4191979169845581, -0.3656902313232422, 0.49911630153656006, -0.05124962329864502, -0.3213496208190918, -0.03682148456573486, 0.15711820125579834, 0.23324966430664062]]",2
