iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,635.1931762695312,"[0.6608283519744873, 0.0023643970489501953, -0.31677913665771484, -0.814682126045227, -0.3421086072921753, 0.02194821834564209, 0.9051952362060547, 0.17718768119812012, -0.6017621755599976, 0.01991856098175049, -0.864187479019165, 0.2901890277862549, 0.35820066928863525, 0.1822984218597412, -0.10146558284759521, 0.537731409072876, -0.48570191860198975, 0.11747908592224121, 0.2679564952850342, -0.3925027847290039]",635.1931762695312,"[[0.6608283519744873, 0.0023643970489501953, -0.31677913665771484, -0.814682126045227, -0.3421086072921753, 0.02194821834564209, 0.9051952362060547, 0.17718768119812012, -0.6017621755599976, 0.01991856098175049, -0.864187479019165, 0.2901890277862549, 0.35820066928863525, 0.1822984218597412, -0.10146558284759521, 0.537731409072876, -0.48570191860198975, 0.11747908592224121, 0.2679564952850342, -0.3925027847290039]]",1
1,22,937.0492553710938,"[0.10139405727386475, -0.878536581993103, 0.21814274787902832, -0.9384297132492065, -0.8445998430252075, 0.19798755645751953, 0.5378026962280273, 0.4184361696243286, -0.7840832471847534, -0.5491149425506592, -0.030933499336242676, 0.07442831993103027, 0.5969810485839844, 0.2366734743118286, 0.19944298267364502, 0.6871892213821411, 0.28916704654693604, 0.22260737419128418, -0.03226602077484131, 0.5449501276016235]",635.1931762695312,"[[0.6608283519744873, 0.0023643970489501953, -0.31677913665771484, -0.814682126045227, -0.3421086072921753, 0.02194821834564209, 0.9051952362060547, 0.17718768119812012, -0.6017621755599976, 0.01991856098175049, -0.864187479019165, 0.2901890277862549, 0.35820066928863525, 0.1822984218597412, -0.10146558284759521, 0.537731409072876, -0.48570191860198975, 0.11747908592224121, 0.2679564952850342, -0.3925027847290039]]",1
2,23,1338.27978515625,"[0.8985915184020996, -0.5876491069793701, 0.1921926736831665, 0.9751019477844238, -0.6012279987335205, -0.04337203502655029, -0.18919682502746582, -0.7456101179122925, 0.32588231563568115, 0.6990343332290649, -0.09046685695648193, -0.6502821445465088, -0.5267709493637085, 0.028967976570129395, 0.19269752502441406, 0.537979006767273, -0.4356452226638794, 0.22363722324371338, -0.893364429473877, -0.9935663938522339]",635.1931762695312,"[[0.6608283519744873, 0.0023643970489501953, -0.31677913665771484, -0.814682126045227, -0.3421086072921753, 0.02194821834564209, 0.9051952362060547, 0.17718768119812012, -0.6017621755599976, 0.01991856098175049, -0.864187479019165, 0.2901890277862549, 0.35820066928863525, 0.1822984218597412, -0.10146558284759521, 0.537731409072876, -0.48570191860198975, 0.11747908592224121, 0.2679564952850342, -0.3925027847290039]]",1
3,24,1170.6422119140625,"[-0.49533581733703613, -0.45944809913635254, 0.5205177068710327, -0.9703869819641113, 0.9332882165908813, 0.4588608741760254, 0.4909311532974243, 0.02888786792755127, 0.5400151014328003, -0.6541136503219604, 0.04629409313201904, 0.8381050825119019, -0.8651130199432373, -0.5044646263122559, -0.27281808853149414, -0.9142037630081177, 0.9582990407943726, -0.20071887969970703, -0.34602344036102295, -0.3994913101196289]",635.1931762695312,"[[0.6608283519744873, 0.0023643970489501953, -0.31677913665771484, -0.814682126045227, -0.3421086072921753, 0.02194821834564209, 0.9051952362060547, 0.17718768119812012, -0.6017621755599976, 0.01991856098175049, -0.864187479019165, 0.2901890277862549, 0.35820066928863525, 0.1822984218597412, -0.10146558284759521, 0.537731409072876, -0.48570191860198975, 0.11747908592224121, 0.2679564952850342, -0.3925027847290039]]",1
4,25,1026.0740966796875,"[0.8487379550933838, 0.6147928237915039, 0.18984627723693848, 0.7220300436019897, -0.7037414312362671, 0.9586944580078125, 0.5873785018920898, 0.40482568740844727, -0.719274640083313, 0.4184551239013672, -0.9498128890991211, -0.3850822448730469, -0.6086975336074829, 0.9148402214050293, 0.9849292039871216, -0.5040781497955322, 0.5347537994384766, 0.4973163604736328, -0.5548750162124634, 0.7079180479049683]",635.1931762695312,"[[0.6608283519744873, 0.0023643970489501953, -0.31677913665771484, -0.814682126045227, -0.3421086072921753, 0.02194821834564209, 0.9051952362060547, 0.17718768119812012, -0.6017621755599976, 0.01991856098175049, -0.864187479019165, 0.2901890277862549, 0.35820066928863525, 0.1822984218597412, -0.10146558284759521, 0.537731409072876, -0.48570191860198975, 0.11747908592224121, 0.2679564952850342, -0.3925027847290039]]",1
5,26,1327.9453125,"[0.12475943565368652, 0.9583526849746704, 0.21922576427459717, -0.23586523532867432, 0.47689270973205566, 0.33340632915496826, -0.5783005952835083, 0.9766865968704224, -0.825928807258606, 0.21542644500732422, -0.4799172878265381, -0.2080683708190918, 0.7080539464950562, 0.9970971345901489, -0.04211771488189697, -0.6712936162948608, 0.18752598762512207, 0.7933470010757446, 0.9693934917449951, -0.9919801950454712]",635.1931762695312,"[[0.6608283519744873, 0.0023643970489501953, -0.31677913665771484, -0.814682126045227, -0.3421086072921753, 0.02194821834564209, 0.9051952362060547, 0.17718768119812012, -0.6017621755599976, 0.01991856098175049, -0.864187479019165, 0.2901890277862549, 0.35820066928863525, 0.1822984218597412, -0.10146558284759521, 0.537731409072876, -0.48570191860198975, 0.11747908592224121, 0.2679564952850342, -0.3925027847290039]]",1
6,27,850.989013671875,"[0.6428028345108032, -0.4924064874649048, 0.18310654163360596, -0.2530195713043213, 0.768589973449707, 0.6033638715744019, 0.5996853113174438, -0.15716314315795898, 0.39055609703063965, -0.1382819414138794, 0.466957688331604, 0.8747361898422241, -0.7952756881713867, 0.7070777416229248, 0.589950680732727, -0.48082149028778076, -0.9038840532302856, -0.27269959449768066, -0.10631406307220459, -0.28300178050994873]",635.1931762695312,"[[0.6608283519744873, 0.0023643970489501953, -0.31677913665771484, -0.814682126045227, -0.3421086072921753, 0.02194821834564209, 0.9051952362060547, 0.17718768119812012, -0.6017621755599976, 0.01991856098175049, -0.864187479019165, 0.2901890277862549, 0.35820066928863525, 0.1822984218597412, -0.10146558284759521, 0.537731409072876, -0.48570191860198975, 0.11747908592224121, 0.2679564952850342, -0.3925027847290039]]",1
7,28,1232.38916015625,"[0.167885422706604, -0.9938297271728516, 0.6848185062408447, -0.6608812808990479, 0.3707399368286133, 0.8286638259887695, 0.43764054775238037, 0.8809795379638672, 0.9471391439437866, -0.10172426700592041, 0.7931848764419556, -0.9218164682388306, 0.07859814167022705, 0.8221879005432129, -0.42862725257873535, 0.06970489025115967, -0.6163330078125, 0.878282904624939, -0.42323827743530273, -0.09399402141571045]",635.1931762695312,"[[0.6608283519744873, 0.0023643970489501953, -0.31677913665771484, -0.814682126045227, -0.3421086072921753, 0.02194821834564209, 0.9051952362060547, 0.17718768119812012, -0.6017621755599976, 0.01991856098175049, -0.864187479019165, 0.2901890277862549, 0.35820066928863525, 0.1822984218597412, -0.10146558284759521, 0.537731409072876, -0.48570191860198975, 0.11747908592224121, 0.2679564952850342, -0.3925027847290039]]",1
8,29,1204.9866943359375,"[-0.9080979824066162, -0.8072561025619507, 0.31208348274230957, -0.251920223236084, 0.9188826084136963, 0.23692083358764648, 0.842857837677002, -0.5037968158721924, 0.2676405906677246, 0.8219343423843384, 0.1867431402206421, 0.7878849506378174, 0.502609372138977, 0.07043659687042236, -0.0874403715133667, 0.8390425443649292, -0.793950080871582, 0.6908307075500488, 0.7296030521392822, -0.6254433393478394]",635.1931762695312,"[[0.6608283519744873, 0.0023643970489501953, -0.31677913665771484, -0.814682126045227, -0.3421086072921753, 0.02194821834564209, 0.9051952362060547, 0.17718768119812012, -0.6017621755599976, 0.01991856098175049, -0.864187479019165, 0.2901890277862549, 0.35820066928863525, 0.1822984218597412, -0.10146558284759521, 0.537731409072876, -0.48570191860198975, 0.11747908592224121, 0.2679564952850342, -0.3925027847290039]]",1
9,30,1702.168701171875,"[0.67219078540802, 0.09355616569519043, 0.9609723091125488, -0.4759371280670166, 0.38715648651123047, 0.7989161014556885, -0.8368643522262573, 0.8298872709274292, -0.6629378795623779, -0.5731103420257568, -0.918714165687561, 0.9512704610824585, 0.9645370244979858, -0.7010749578475952, 0.9165929555892944, -0.660833477973938, 0.09575080871582031, -0.7844057083129883, -0.30674827098846436, 0.14010071754455566]",635.1931762695312,"[[0.6608283519744873, 0.0023643970489501953, -0.31677913665771484, -0.814682126045227, -0.3421086072921753, 0.02194821834564209, 0.9051952362060547, 0.17718768119812012, -0.6017621755599976, 0.01991856098175049, -0.864187479019165, 0.2901890277862549, 0.35820066928863525, 0.1822984218597412, -0.10146558284759521, 0.537731409072876, -0.48570191860198975, 0.11747908592224121, 0.2679564952850342, -0.3925027847290039]]",1
