iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,134.2183074951172,"[0.5862813591957092, 0.6593536138534546, -0.46991389989852905, 0.05402715876698494, -0.5995373129844666]",134.2183074951172,"[[0.5862813591957092, 0.6593536138534546, -0.46991389989852905, 0.05402715876698494, -0.5995373129844666]]",1
1,22,23.242372512817383,"[-0.3756389915943146, 0.12422666698694229, 0.2995801568031311, -0.18926532566547394, 0.20258492231369019]",23.242372512817383,"[[-0.3756389915943146, 0.12422666698694229, 0.2995801568031311, -0.18926532566547394, 0.20258492231369019]]",2
2,23,257.03411865234375,"[-0.19600273668766022, 0.2863442003726959, 0.2804112136363983, 0.9829379916191101, -0.30946627259254456]",23.242372512817383,"[[-0.3756389915943146, 0.12422666698694229, 0.2995801568031311, -0.18926532566547394, 0.20258492231369019]]",2
3,24,402.9501647949219,"[-0.21637596189975739, 0.34309491515159607, 0.2172032594680786, -0.8629158735275269, -1.0]",23.242372512817383,"[[-0.3756389915943146, 0.12422666698694229, 0.2995801568031311, -0.18926532566547394, 0.20258492231369019]]",2
4,25,266.7361145019531,"[-0.6347610354423523, -0.5232159495353699, -0.8355786204338074, 0.5582548379898071, 1.0]",23.242372512817383,"[[-0.3756389915943146, 0.12422666698694229, 0.2995801568031311, -0.18926532566547394, 0.20258492231369019]]",2
5,26,492.87542724609375,"[0.5019357204437256, 0.8416481018066406, -0.8156648874282837, -0.755791187286377, 0.9862544536590576]",23.242372512817383,"[[-0.3756389915943146, 0.12422666698694229, 0.2995801568031311, -0.18926532566547394, 0.20258492231369019]]",2
6,27,19.40410804748535,"[0.9955251216888428, 0.7883765697479248, 0.8079836964607239, 0.3193603456020355, 0.13964319229125977]",19.40410804748535,"[[0.9955251216888428, 0.7883765697479248, 0.8079836964607239, 0.3193603456020355, 0.13964319229125977]]",3
7,28,135.1026153564453,"[-0.6298635005950928, 0.7253539562225342, -0.5281462669372559, 0.026662468910217285, -0.08773505687713623]",19.40410804748535,"[[0.9955251216888428, 0.7883765697479248, 0.8079836964607239, 0.3193603456020355, 0.13964319229125977]]",3
8,29,558.7197875976562,"[0.9002560377120972, -0.5821272134780884, 0.9258394241333008, -0.9406418800354004, 0.9751933813095093]",19.40410804748535,"[[0.9955251216888428, 0.7883765697479248, 0.8079836964607239, 0.3193603456020355, 0.13964319229125977]]",3
9,30,44.6289176940918,"[-0.1723254919052124, -0.2546231746673584, 0.28051841259002686, -0.008196473121643066, -0.5160640478134155]",19.40410804748535,"[[0.9955251216888428, 0.7883765697479248, 0.8079836964607239, 0.3193603456020355, 0.13964319229125977]]",3
