iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,300.34295654296875,"[-0.6263536214828491, 0.7238123416900635, 0.23752200603485107, 0.8184494972229004, -0.8125053644180298]",300.34295654296875,"[[-0.6263536214828491, 0.7238123416900635, 0.23752200603485107, 0.8184494972229004, -0.8125053644180298]]",1
1,22,171.3162078857422,"[0.6118512153625488, 0.29240691661834717, -0.8068825006484985, 0.0004917383193969727, -0.6616016626358032]",171.3162078857422,"[[0.6118512153625488, 0.29240691661834717, -0.8068825006484985, 0.0004917383193969727, -0.6616016626358032]]",2
2,23,108.49874877929688,"[-0.37550973892211914, -0.25473201274871826, -0.8547126054763794, 0.722432017326355, 0.408766508102417]",108.49874877929688,"[[-0.37550973892211914, -0.25473201274871826, -0.8547126054763794, 0.722432017326355, 0.408766508102417]]",3
3,24,170.55740356445312,"[0.29894590377807617, 0.7500221729278564, -0.153975248336792, 0.8809558153152466, 0.818895697593689]",108.49874877929688,"[[-0.37550973892211914, -0.25473201274871826, -0.8547126054763794, 0.722432017326355, 0.408766508102417]]",3
4,25,31.69422721862793,"[-0.6259492635726929, 0.21180975437164307, 0.16073167324066162, -0.21117079257965088, 0.4454556703567505]",31.69422721862793,"[[-0.6259492635726929, 0.21180975437164307, 0.16073167324066162, -0.21117079257965088, 0.4454556703567505]]",4
5,26,90.17593383789062,"[0.9531699419021606, 0.9079923629760742, 0.5511500835418701, 0.9019404649734497, 0.13007354736328125]",31.69422721862793,"[[-0.6259492635726929, 0.21180975437164307, 0.16073167324066162, -0.21117079257965088, 0.4454556703567505]]",4
6,27,359.80657958984375,"[-0.5137041807174683, 0.32966721057891846, 0.06865310668945312, -0.8785039186477661, -0.8837592601776123]",31.69422721862793,"[[-0.6259492635726929, 0.21180975437164307, 0.16073167324066162, -0.21117079257965088, 0.4454556703567505]]",4
7,28,145.8074188232422,"[0.8043440580368042, -0.1151421070098877, -0.1814572811126709, -0.7199389934539795, 0.9833372831344604]",31.69422721862793,"[[-0.6259492635726929, 0.21180975437164307, 0.16073167324066162, -0.21117079257965088, 0.4454556703567505]]",4
8,29,271.0483703613281,"[0.6188851594924927, -0.7236801385879517, 0.2772860527038574, 0.8588217496871948, -0.14386367797851562]",31.69422721862793,"[[-0.6259492635726929, 0.21180975437164307, 0.16073167324066162, -0.21117079257965088, 0.4454556703567505]]",4
9,30,142.2423553466797,"[0.37789249420166016, 0.020926833152770996, 0.37151968479156494, -0.7841607332229614, 0.0065757036209106445]",31.69422721862793,"[[-0.6259492635726929, 0.21180975437164307, 0.16073167324066162, -0.21117079257965088, 0.4454556703567505]]",4
10,31,80.16642761230469,"[-0.1181715726852417, 0.49695050716400146, 0.9332629442214966, 0.5873521566390991, 0.3559304475784302]",31.69422721862793,"[[-0.6259492635726929, 0.21180975437164307, 0.16073167324066162, -0.21117079257965088, 0.4454556703567505]]",4
11,32,301.258056640625,"[-0.3618030548095703, 0.9182374477386475, -0.3312547206878662, 0.0282137393951416, 0.9810969829559326]",31.69422721862793,"[[-0.6259492635726929, 0.21180975437164307, 0.16073167324066162, -0.21117079257965088, 0.4454556703567505]]",4
12,33,148.76487731933594,"[-0.9041606187820435, 0.1887277364730835, 0.628867506980896, -0.27227604389190674, 0.5580193996429443]",31.69422721862793,"[[-0.6259492635726929, 0.21180975437164307, 0.16073167324066162, -0.21117079257965088, 0.4454556703567505]]",4
13,34,348.6468505859375,"[-0.8134992122650146, -0.9610921144485474, 0.245513916015625, -0.3277895450592041, -0.27685511112213135]",31.69422721862793,"[[-0.6259492635726929, 0.21180975437164307, 0.16073167324066162, -0.21117079257965088, 0.4454556703567505]]",4
14,35,20.274295806884766,"[-0.34913766384124756, 0.024179816246032715, 0.1705857515335083, -0.2811427116394043, 0.20939922332763672]",20.274295806884766,"[[-0.34913766384124756, 0.024179816246032715, 0.1705857515335083, -0.2811427116394043, 0.20939922332763672]]",5
15,36,161.93576049804688,"[-0.5650501251220703, 0.311059832572937, -0.8930566310882568, 0.13548266887664795, 0.37682783603668213]",20.274295806884766,"[[-0.34913766384124756, 0.024179816246032715, 0.1705857515335083, -0.2811427116394043, 0.20939922332763672]]",5
16,37,45.6215934753418,"[0.0995950698852539, 0.1323544979095459, 0.270766019821167, 0.43558430671691895, -0.281180739402771]",20.274295806884766,"[[-0.34913766384124756, 0.024179816246032715, 0.1705857515335083, -0.2811427116394043, 0.20939922332763672]]",5
17,38,549.0107421875,"[0.7521436214447021, -0.22766971588134766, 0.8024344444274902, -0.8302940130233765, -0.7509052753448486]",20.274295806884766,"[[-0.34913766384124756, 0.024179816246032715, 0.1705857515335083, -0.2811427116394043, 0.20939922332763672]]",5
18,39,439.1397705078125,"[-0.16716539859771729, 0.42194223403930664, -0.8914099931716919, -0.8873945474624634, 0.3691493272781372]",20.274295806884766,"[[-0.34913766384124756, 0.024179816246032715, 0.1705857515335083, -0.2811427116394043, 0.20939922332763672]]",5
19,40,149.64419555664062,"[-0.17306482791900635, -0.2634345293045044, 0.9084411859512329, 0.776422381401062, -0.2179325819015503]",20.274295806884766,"[[-0.34913766384124756, 0.024179816246032715, 0.1705857515335083, -0.2811427116394043, 0.20939922332763672]]",5
