iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,172.9517364501953,"[0.8286876082420349, 0.4172171354293823, -0.6096687912940979, 0.14715494215488434, -0.9558238983154297]",172.9517364501953,"[[0.8286876082420349, 0.4172171354293823, -0.6096687912940979, 0.14715494215488434, -0.9558238983154297]]",1
1,22,32.87031173706055,"[-0.7330561876296997, 0.5325474739074707, 0.16033147275447845, 0.3004836142063141, -0.3499647378921509]",32.87031173706055,"[[-0.7330561876296997, 0.5325474739074707, 0.16033147275447845, 0.3004836142063141, -0.3499647378921509]]",2
2,23,158.57171630859375,"[-0.060983285307884216, 0.08710209280252457, -0.6664754748344421, -0.5664753317832947, 0.4967726469039917]",32.87031173706055,"[[-0.7330561876296997, 0.5325474739074707, 0.16033147275447845, 0.3004836142063141, -0.3499647378921509]]",2
3,24,46.36275100708008,"[-0.42455124855041504, -0.0062598055228590965, 0.6064610481262207, 0.3726784586906433, -0.019888045266270638]",32.87031173706055,"[[-0.7330561876296997, 0.5325474739074707, 0.16033147275447845, 0.3004836142063141, -0.3499647378921509]]",2
4,25,249.37156677246094,"[0.377530038356781, 1.0, -0.11921902000904083, 0.5542976260185242, 0.7495313286781311]",32.87031173706055,"[[-0.7330561876296997, 0.5325474739074707, 0.16033147275447845, 0.3004836142063141, -0.3499647378921509]]",2
5,26,230.4838104248047,"[-0.6322564482688904, -0.7978745102882385, 0.2847450375556946, 0.8964561820030212, 0.936832845211029]",32.87031173706055,"[[-0.7330561876296997, 0.5325474739074707, 0.16033147275447845, 0.3004836142063141, -0.3499647378921509]]",2
6,27,378.7446594238281,"[0.924041211605072, -0.7100311517715454, -0.29222744703292847, 0.560660183429718, 0.9727746248245239]",32.87031173706055,"[[-0.7330561876296997, 0.5325474739074707, 0.16033147275447845, 0.3004836142063141, -0.3499647378921509]]",2
7,28,257.8963928222656,"[0.9506944417953491, 0.5645929574966431, 0.3341948390007019, 0.9611952304840088, -0.39344075322151184]",32.87031173706055,"[[-0.7330561876296997, 0.5325474739074707, 0.16033147275447845, 0.3004836142063141, -0.3499647378921509]]",2
8,29,92.77245330810547,"[-0.8086422085762024, 0.571682333946228, 0.29200372099876404, -0.8342899680137634, 0.7259026169776917]",32.87031173706055,"[[-0.7330561876296997, 0.5325474739074707, 0.16033147275447845, 0.3004836142063141, -0.3499647378921509]]",2
9,30,413.9594421386719,"[-0.30836012959480286, -0.7781856656074524, 0.8700684905052185, 0.9667146801948547, -0.8582517504692078]",32.87031173706055,"[[-0.7330561876296997, 0.5325474739074707, 0.16033147275447845, 0.3004836142063141, -0.3499647378921509]]",2
10,31,95.61138153076172,"[-0.17524850368499756, -0.0408327579498291, 0.15126687288284302, -0.17848289012908936, -0.8860048055648804]",32.87031173706055,"[[-0.7330561876296997, 0.5325474739074707, 0.16033147275447845, 0.3004836142063141, -0.3499647378921509]]",2
11,32,755.5643920898438,"[0.9339398145675659, -0.7726082801818848, -0.5723696351051331, -0.9976603388786316, -0.281523197889328]",32.87031173706055,"[[-0.7330561876296997, 0.5325474739074707, 0.16033147275447845, 0.3004836142063141, -0.3499647378921509]]",2
12,33,76.90691375732422,"[0.26313698291778564, 0.9274150133132935, 0.8705002665519714, 0.9215295314788818, 0.8430654406547546]",32.87031173706055,"[[-0.7330561876296997, 0.5325474739074707, 0.16033147275447845, 0.3004836142063141, -0.3499647378921509]]",2
13,34,7.541860103607178,"[-0.09021768718957901, 0.029665224254131317, 0.13183146715164185, -0.012171290814876556, -0.13311539590358734]",7.541860103607178,"[[-0.09021768718957901, 0.029665224254131317, 0.13183146715164185, -0.012171290814876556, -0.13311539590358734]]",3
14,35,219.2200469970703,"[-0.995698869228363, 0.8182182312011719, -0.7736622095108032, 0.6236687898635864, 0.3120555877685547]",7.541860103607178,"[[-0.09021768718957901, 0.029665224254131317, 0.13183146715164185, -0.012171290814876556, -0.13311539590358734]]",3
