iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,199.0233154296875,"[0.48187458515167236, 0.8215854167938232, -0.3509480953216553, -0.06724798679351807, 0.7264494895935059]",199.0233154296875,"[[0.48187458515167236, 0.8215854167938232, -0.3509480953216553, -0.06724798679351807, 0.7264494895935059]]",1
1,22,176.68783569335938,"[-0.6103096008300781, 0.30175256729125977, 0.7942970991134644, -0.47036802768707275, 0.26334285736083984]",176.68783569335938,"[[-0.6103096008300781, 0.30175256729125977, 0.7942970991134644, -0.47036802768707275, 0.26334285736083984]]",2
2,23,255.2999267578125,"[-0.9383867979049683, 0.7021480798721313, 0.6884492635726929, 0.7929118871688843, -0.9014865159988403]",176.68783569335938,"[[-0.6103096008300781, 0.30175256729125977, 0.7942970991134644, -0.47036802768707275, 0.26334285736083984]]",2
3,24,166.77061462402344,"[-0.15823352336883545, 0.7972562313079834, 0.1839689016342163, 0.9420648813247681, 0.7395812273025513]",166.77061462402344,"[[-0.15823352336883545, 0.7972562313079834, 0.1839689016342163, 0.9420648813247681, 0.7395812273025513]]",3
4,25,130.763671875,"[-0.06935453414916992, -0.5647594928741455, 0.15752148628234863, 0.22212553024291992, 0.98167884349823]",130.763671875,"[[-0.06935453414916992, -0.5647594928741455, 0.15752148628234863, 0.22212553024291992, 0.98167884349823]]",4
5,26,133.14784240722656,"[0.2930119037628174, 0.5734473466873169, -0.5252999067306519, 0.2502201795578003, 0.6351314783096313]",130.763671875,"[[-0.06935453414916992, -0.5647594928741455, 0.15752148628234863, 0.22212553024291992, 0.98167884349823]]",4
6,27,535.4202880859375,"[-0.0973590612411499, -0.32792162895202637, 0.9665664434432983, -0.8676494359970093, -0.33840858936309814]",130.763671875,"[[-0.06935453414916992, -0.5647594928741455, 0.15752148628234863, 0.22212553024291992, 0.98167884349823]]",4
7,28,478.3724060058594,"[-0.991410493850708, 0.09989595413208008, 0.8089613914489746, -0.6360893249511719, -0.8702828884124756]",130.763671875,"[[-0.06935453414916992, -0.5647594928741455, 0.15752148628234863, 0.22212553024291992, 0.98167884349823]]",4
8,29,152.49658203125,"[0.6361088752746582, -0.18780875205993652, 0.6955318450927734, -0.3067350387573242, -0.18838143348693848]",130.763671875,"[[-0.06935453414916992, -0.5647594928741455, 0.15752148628234863, 0.22212553024291992, 0.98167884349823]]",4
9,30,275.8948059082031,"[0.8679958581924438, -0.8156653642654419, 0.6426334381103516, 0.5522613525390625, -0.18539440631866455]",130.763671875,"[[-0.06935453414916992, -0.5647594928741455, 0.15752148628234863, 0.22212553024291992, 0.98167884349823]]",4
10,31,534.2227783203125,"[0.710983157157898, -0.9985448122024536, -0.6889702081680298, 0.1014794111251831, -0.1332029104232788]",130.763671875,"[[-0.06935453414916992, -0.5647594928741455, 0.15752148628234863, 0.22212553024291992, 0.98167884349823]]",4
11,32,160.4760284423828,"[-0.08309412002563477, -0.7850890159606934, -0.32326269149780273, 0.0081712007522583, -0.11925148963928223]",130.763671875,"[[-0.06935453414916992, -0.5647594928741455, 0.15752148628234863, 0.22212553024291992, 0.98167884349823]]",4
12,33,112.9713134765625,"[-0.10516214370727539, 0.02688610553741455, 0.49545109272003174, 0.039072513580322266, 0.9007097482681274]",112.9713134765625,"[[-0.10516214370727539, 0.02688610553741455, 0.49545109272003174, 0.039072513580322266, 0.9007097482681274]]",5
13,34,81.60974884033203,"[-0.2501417398452759, 0.6284116506576538, 0.9391950368881226, 0.7697631120681763, 0.18098080158233643]",81.60974884033203,"[[-0.2501417398452759, 0.6284116506576538, 0.9391950368881226, 0.7697631120681763, 0.18098080158233643]]",6
14,35,191.351806640625,"[0.8556925058364868, 0.023066997528076172, 0.7406610250473022, -0.3428295850753784, 0.31699299812316895]",81.60974884033203,"[[-0.2501417398452759, 0.6284116506576538, 0.9391950368881226, 0.7697631120681763, 0.18098080158233643]]",6
15,36,91.87031555175781,"[-0.16619551181793213, 0.29216885566711426, -0.2973783016204834, 0.2774043083190918, -0.7141999006271362]",81.60974884033203,"[[-0.2501417398452759, 0.6284116506576538, 0.9391950368881226, 0.7697631120681763, 0.18098080158233643]]",6
16,37,60.38059997558594,"[-0.5842355489730835, 0.921562910079956, 0.39362597465515137, 0.2644869089126587, -0.04500901699066162]",60.38059997558594,"[[-0.5842355489730835, 0.921562910079956, 0.39362597465515137, 0.2644869089126587, -0.04500901699066162]]",7
17,38,111.54161834716797,"[0.34113216400146484, -0.2420731782913208, 0.30353522300720215, -0.7729978561401367, 0.9474408626556396]",60.38059997558594,"[[-0.5842355489730835, 0.921562910079956, 0.39362597465515137, 0.2644869089126587, -0.04500901699066162]]",7
18,39,247.90536499023438,"[-0.8436956405639648, -0.6127468347549438, 0.44036948680877686, 0.13087701797485352, 0.8206883668899536]",60.38059997558594,"[[-0.5842355489730835, 0.921562910079956, 0.39362597465515137, 0.2644869089126587, -0.04500901699066162]]",7
19,40,129.8971710205078,"[-0.377630352973938, 0.5840908288955688, -0.37754392623901367, 0.6183456182479858, -0.18341898918151855]",60.38059997558594,"[[-0.5842355489730835, 0.921562910079956, 0.39362597465515137, 0.2644869089126587, -0.04500901699066162]]",7
20,41,260.3044128417969,"[0.12910032272338867, -0.230560302734375, -0.9339377880096436, 0.036799073219299316, 0.8959356546401978]",60.38059997558594,"[[-0.5842355489730835, 0.921562910079956, 0.39362597465515137, 0.2644869089126587, -0.04500901699066162]]",7
21,42,294.7041320800781,"[0.20443451404571533, -0.1401965618133545, -0.9826462268829346, 0.867570161819458, -0.6040705442428589]",60.38059997558594,"[[-0.5842355489730835, 0.921562910079956, 0.39362597465515137, 0.2644869089126587, -0.04500901699066162]]",7
22,43,231.835693359375,"[0.5649173259735107, -0.5893621444702148, -0.2096179723739624, 0.8882147073745728, 0.13460755348205566]",60.38059997558594,"[[-0.5842355489730835, 0.921562910079956, 0.39362597465515137, 0.2644869089126587, -0.04500901699066162]]",7
23,44,62.19175720214844,"[0.9585565328598022, 0.8278051614761353, 0.20077943801879883, 0.48028016090393066, 0.6503216028213501]",60.38059997558594,"[[-0.5842355489730835, 0.921562910079956, 0.39362597465515137, 0.2644869089126587, -0.04500901699066162]]",7
24,45,49.175148010253906,"[-0.0845346450805664, -0.23366022109985352, 0.10838770866394043, -0.5880734920501709, 0.4511755704879761]",49.175148010253906,"[[-0.0845346450805664, -0.23366022109985352, 0.10838770866394043, -0.5880734920501709, 0.4511755704879761]]",8
