iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,8382.6787109375,"[1.0, 0.6383137106895447, -1.0, -1.0, 0.4583204984664917, -0.9500997066497803, 0.5888667106628418, -0.8364295959472656, 0.5656542778015137, -0.9493023753166199, -0.2811447083950043, 0.8208087682723999, -0.7717323303222656, -0.5345380306243896, -1.0, -0.8948900699615479, -0.3234139382839203, -0.4162027835845947, 1.0, 0.22920329868793488]",8382.6787109375,"[[1.0, 0.6383137106895447, -1.0, -1.0, 0.4583204984664917, -0.9500997066497803, 0.5888667106628418, -0.8364295959472656, 0.5656542778015137, -0.9493023753166199, -0.2811447083950043, 0.8208087682723999, -0.7717323303222656, -0.5345380306243896, -1.0, -0.8948900699615479, -0.3234139382839203, -0.4162027835845947, 1.0, 0.22920329868793488]]",1
1,22,8379.6220703125,"[-0.014331183396279812, 0.5243956446647644, -0.7330982089042664, 0.6500247120857239, -0.32626742124557495, 0.8345052003860474, -0.9884811639785767, -0.23148059844970703, -0.22374273836612701, 1.0, -1.0, 0.45979729294776917, -0.07697661966085434, -1.0, -0.942304253578186, 1.0, -0.02926088497042656, 0.954950213432312, 0.942736029624939, -0.890369176864624]",8379.6220703125,"[[-0.014331183396279812, 0.5243956446647644, -0.7330982089042664, 0.6500247120857239, -0.32626742124557495, 0.8345052003860474, -0.9884811639785767, -0.23148059844970703, -0.22374273836612701, 1.0, -1.0, 0.45979729294776917, -0.07697661966085434, -1.0, -0.942304253578186, 1.0, -0.02926088497042656, 0.954950213432312, 0.942736029624939, -0.890369176864624]]",2
2,23,8378.2421875,"[-0.2069450467824936, -0.29113540053367615, 1.0, -0.19930468499660492, -1.0, -0.6904568672180176, 0.8315398693084717, 0.7944620847702026, 0.33913543820381165, 0.7204883694648743, -0.8587058186531067, -0.7431970834732056, 0.559048593044281, 0.2961655259132385, 0.6319901347160339, 1.0, -0.9384450912475586, 0.6060385704040527, 0.5828526616096497, -0.5609161257743835]",8378.2421875,"[[-0.2069450467824936, -0.29113540053367615, 1.0, -0.19930468499660492, -1.0, -0.6904568672180176, 0.8315398693084717, 0.7944620847702026, 0.33913543820381165, 0.7204883694648743, -0.8587058186531067, -0.7431970834732056, 0.559048593044281, 0.2961655259132385, 0.6319901347160339, 1.0, -0.9384450912475586, 0.6060385704040527, 0.5828526616096497, -0.5609161257743835]]",3
3,24,8381.619140625,"[0.25850746035575867, 1.0, 0.7118871212005615, -0.7448849678039551, -0.7586499452590942, -0.8973174691200256, 1.0, 0.42759430408477783, -1.0, -1.0, -0.2657139301300049, 0.4457550644874573, 0.48855292797088623, -0.36902859807014465, -1.0, -0.8674880266189575, -0.6843353509902954, 0.36756813526153564, 0.3406330943107605, 0.5739642977714539]",8378.2421875,"[[-0.2069450467824936, -0.29113540053367615, 1.0, -0.19930468499660492, -1.0, -0.6904568672180176, 0.8315398693084717, 0.7944620847702026, 0.33913543820381165, 0.7204883694648743, -0.8587058186531067, -0.7431970834732056, 0.559048593044281, 0.2961655259132385, 0.6319901347160339, 1.0, -0.9384450912475586, 0.6060385704040527, 0.5828526616096497, -0.5609161257743835]]",3
4,25,8380.8515625,"[-0.9642179012298584, -0.8652472496032715, 0.8638993501663208, 1.0, -1.0, -0.47554126381874084, -0.9397458434104919, 0.5467546582221985, 0.06267093122005463, -0.46696239709854126, -0.6918246150016785, 0.46465930342674255, -0.5572686791419983, -1.0, -0.8419272899627686, 0.5890596508979797, 1.0, 1.0, 0.08438893407583237, 0.7631218433380127]",8378.2421875,"[[-0.2069450467824936, -0.29113540053367615, 1.0, -0.19930468499660492, -1.0, -0.6904568672180176, 0.8315398693084717, 0.7944620847702026, 0.33913543820381165, 0.7204883694648743, -0.8587058186531067, -0.7431970834732056, 0.559048593044281, 0.2961655259132385, 0.6319901347160339, 1.0, -0.9384450912475586, 0.6060385704040527, 0.5828526616096497, -0.5609161257743835]]",3
5,26,8376.6875,"[0.5386825203895569, 0.09394844621419907, 0.928909420967102, -0.9198256731033325, -0.2649728059768677, 0.9976452589035034, 0.9830731749534607, 0.9642493724822998, -0.44455066323280334, 1.0, -0.6380847096443176, -1.0, 0.25455576181411743, -0.06917278468608856, 0.6735560297966003, 0.5329967141151428, 0.9813439846038818, -0.9658533930778503, 1.0, -1.0]",8376.6875,"[[0.5386825203895569, 0.09394844621419907, 0.928909420967102, -0.9198256731033325, -0.2649728059768677, 0.9976452589035034, 0.9830731749534607, 0.9642493724822998, -0.44455066323280334, 1.0, -0.6380847096443176, -1.0, 0.25455576181411743, -0.06917278468608856, 0.6735560297966003, 0.5329967141151428, 0.9813439846038818, -0.9658533930778503, 1.0, -1.0]]",4
6,27,8376.98046875,"[-0.831647515296936, 0.7507613301277161, 0.30905094742774963, -0.7591800689697266, -0.4315527081489563, 0.3752562999725342, 0.9052956700325012, -0.7381098866462708, 0.7920882105827332, 1.0, 0.9264703392982483, 0.929332435131073, -0.8758037686347961, -0.6004128456115723, -0.9257823824882507, 0.7461941242218018, -0.00858829915523529, 1.0, 0.6180980801582336, 0.2292006015777588]",8376.6875,"[[0.5386825203895569, 0.09394844621419907, 0.928909420967102, -0.9198256731033325, -0.2649728059768677, 0.9976452589035034, 0.9830731749534607, 0.9642493724822998, -0.44455066323280334, 1.0, -0.6380847096443176, -1.0, 0.25455576181411743, -0.06917278468608856, 0.6735560297966003, 0.5329967141151428, 0.9813439846038818, -0.9658533930778503, 1.0, -1.0]]",4
7,28,8380.5390625,"[0.7378842830657959, 0.05432906746864319, 0.9283820390701294, 1.0, -0.7381985187530518, 0.7136450409889221, -1.0, 0.34820258617401123, -0.6582245826721191, 0.26457837224006653, 0.6574373841285706, -1.0, -1.0, -0.5570513606071472, -0.9433824419975281, -0.4370608627796173, 0.8683316111564636, -0.6041550636291504, 1.0, -0.6914752125740051]",8376.6875,"[[0.5386825203895569, 0.09394844621419907, 0.928909420967102, -0.9198256731033325, -0.2649728059768677, 0.9976452589035034, 0.9830731749534607, 0.9642493724822998, -0.44455066323280334, 1.0, -0.6380847096443176, -1.0, 0.25455576181411743, -0.06917278468608856, 0.6735560297966003, 0.5329967141151428, 0.9813439846038818, -0.9658533930778503, 1.0, -1.0]]",4
8,29,8379.029296875,"[-0.5540680885314941, -0.3692399561405182, -0.8298419713973999, -0.5621826648712158, -0.9284411668777466, -0.9653406143188477, 0.6301669478416443, 1.0, -1.0, -0.16840966045856476, -0.6929094195365906, 0.3575970232486725, 0.9458850026130676, 0.18691426515579224, 0.9176774621009827, 0.8655406832695007, 0.7837768793106079, -1.0, 1.0, 1.0]",8376.6875,"[[0.5386825203895569, 0.09394844621419907, 0.928909420967102, -0.9198256731033325, -0.2649728059768677, 0.9976452589035034, 0.9830731749534607, 0.9642493724822998, -0.44455066323280334, 1.0, -0.6380847096443176, -1.0, 0.25455576181411743, -0.06917278468608856, 0.6735560297966003, 0.5329967141151428, 0.9813439846038818, -0.9658533930778503, 1.0, -1.0]]",4
9,30,8378.1103515625,"[1.0, -0.9745339155197144, 0.8046683073043823, 0.7992011904716492, 0.008645203895866871, 0.44613632559776306, -0.7540151476860046, -0.9973047375679016, 1.0, 0.7247631549835205, -0.935874342918396, 0.7576358318328857, 0.9849092960357666, 1.0, -0.39216911792755127, -0.9564772844314575, -0.5836914777755737, -1.0, 1.0, -0.1024378091096878]",8376.6875,"[[0.5386825203895569, 0.09394844621419907, 0.928909420967102, -0.9198256731033325, -0.2649728059768677, 0.9976452589035034, 0.9830731749534607, 0.9642493724822998, -0.44455066323280334, 1.0, -0.6380847096443176, -1.0, 0.25455576181411743, -0.06917278468608856, 0.6735560297966003, 0.5329967141151428, 0.9813439846038818, -0.9658533930778503, 1.0, -1.0]]",4
