iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,8379.2373046875,"[-0.8812702894210815, -0.828764796257019, 0.25511980056762695, -0.6783901453018188, -0.29052913188934326, -0.33385729789733887, 0.9875409603118896, -0.4982520341873169, 0.901280403137207, -0.4616258144378662, -0.775073766708374, 0.6209150552749634, 0.9828025102615356, 0.9070436954498291, -0.13947665691375732, 0.9764515161514282, -0.23580002784729004, -0.2431100606918335, 0.20479583740234375, -0.6517797708511353]",8379.2373046875,"[[-0.8812702894210815, -0.828764796257019, 0.25511980056762695, -0.6783901453018188, -0.29052913188934326, -0.33385729789733887, 0.9875409603118896, -0.4982520341873169, 0.901280403137207, -0.4616258144378662, -0.775073766708374, 0.6209150552749634, 0.9828025102615356, 0.9070436954498291, -0.13947665691375732, 0.9764515161514282, -0.23580002784729004, -0.2431100606918335, 0.20479583740234375, -0.6517797708511353]]",1
1,22,8378.01171875,"[0.5038280487060547, -0.6423407793045044, 0.7998313903808594, -0.2848968505859375, 0.3422807455062866, -0.5130919218063354, 0.722991943359375, 0.9773051738739014, -0.2619802951812744, -0.9243429899215698, -0.5042827129364014, 0.5969624519348145, 0.5014481544494629, 0.20037579536437988, -0.9805580377578735, 0.6530929803848267, 0.6421726942062378, 0.41667211055755615, 0.978538990020752, -0.8647772073745728]",8378.01171875,"[[0.5038280487060547, -0.6423407793045044, 0.7998313903808594, -0.2848968505859375, 0.3422807455062866, -0.5130919218063354, 0.722991943359375, 0.9773051738739014, -0.2619802951812744, -0.9243429899215698, -0.5042827129364014, 0.5969624519348145, 0.5014481544494629, 0.20037579536437988, -0.9805580377578735, 0.6530929803848267, 0.6421726942062378, 0.41667211055755615, 0.978538990020752, -0.8647772073745728]]",2
2,23,8378.1181640625,"[0.03319716453552246, 0.28419995307922363, 0.9968277215957642, -0.2122642993927002, -0.5340677499771118, -0.1768662929534912, 0.4951810836791992, -0.8907787799835205, 0.3970118761062622, 0.41335880756378174, 0.759739875793457, 0.5246446132659912, 0.8255014419555664, -0.9091274738311768, -0.8535012006759644, 0.3232988119125366, -0.5142987966537476, -0.6062201261520386, 0.9401452541351318, 0.8341085910797119]",8378.01171875,"[[0.5038280487060547, -0.6423407793045044, 0.7998313903808594, -0.2848968505859375, 0.3422807455062866, -0.5130919218063354, 0.722991943359375, 0.9773051738739014, -0.2619802951812744, -0.9243429899215698, -0.5042827129364014, 0.5969624519348145, 0.5014481544494629, 0.20037579536437988, -0.9805580377578735, 0.6530929803848267, 0.6421726942062378, 0.41667211055755615, 0.978538990020752, -0.8647772073745728]]",2
3,24,8383.9453125,"[-0.9301356077194214, 0.6728125810623169, -0.40035855770111084, 0.169944167137146, -0.880347728729248, -0.6878492832183838, -0.7461613416671753, 0.49872255325317383, -0.9806312322616577, -0.5637084245681763, -0.8194689750671387, -0.819125771522522, 0.7949625253677368, -0.5384966135025024, 0.08673524856567383, 0.4285377264022827, -0.04891681671142578, -0.9337105751037598, 0.9759883880615234, -0.6518586874008179]",8378.01171875,"[[0.5038280487060547, -0.6423407793045044, 0.7998313903808594, -0.2848968505859375, 0.3422807455062866, -0.5130919218063354, 0.722991943359375, 0.9773051738739014, -0.2619802951812744, -0.9243429899215698, -0.5042827129364014, 0.5969624519348145, 0.5014481544494629, 0.20037579536437988, -0.9805580377578735, 0.6530929803848267, 0.6421726942062378, 0.41667211055755615, 0.978538990020752, -0.8647772073745728]]",2
4,25,8377.4228515625,"[0.870301365852356, 0.20480799674987793, 0.5115487575531006, -0.7429414987564087, -0.48658430576324463, 0.2501521110534668, 0.23448395729064941, 0.4739021062850952, -0.884138822555542, 0.7544268369674683, 0.9770885705947876, 0.8870444297790527, -0.8163331747055054, 0.9188416004180908, -0.9225497245788574, -0.6164995431900024, -0.8292068243026733, 0.7966533899307251, 0.8224296569824219, 0.703303337097168]",8377.4228515625,"[[0.870301365852356, 0.20480799674987793, 0.5115487575531006, -0.7429414987564087, -0.48658430576324463, 0.2501521110534668, 0.23448395729064941, 0.4739021062850952, -0.884138822555542, 0.7544268369674683, 0.9770885705947876, 0.8870444297790527, -0.8163331747055054, 0.9188416004180908, -0.9225497245788574, -0.6164995431900024, -0.8292068243026733, 0.7966533899307251, 0.8224296569824219, 0.703303337097168]]",3
5,26,8381.390625,"[-0.8013393878936768, 0.17827069759368896, 0.6999356746673584, -0.8150516748428345, -0.5649281740188599, -0.705913782119751, -0.18077397346496582, 0.1662358045578003, 0.5942521095275879, 0.8959939479827881, 0.4459306001663208, -0.9913244247436523, -0.9733158349990845, 0.10304832458496094, 0.8440810441970825, -0.9126478433609009, 0.566335916519165, 0.1208648681640625, -0.5002425909042358, 0.035381197929382324]",8377.4228515625,"[[0.870301365852356, 0.20480799674987793, 0.5115487575531006, -0.7429414987564087, -0.48658430576324463, 0.2501521110534668, 0.23448395729064941, 0.4739021062850952, -0.884138822555542, 0.7544268369674683, 0.9770885705947876, 0.8870444297790527, -0.8163331747055054, 0.9188416004180908, -0.9225497245788574, -0.6164995431900024, -0.8292068243026733, 0.7966533899307251, 0.8224296569824219, 0.703303337097168]]",3
6,27,8382.1474609375,"[-0.08554613590240479, 0.8063831329345703, 0.2560924291610718, -0.8382045030593872, 0.48937225341796875, 0.9656274318695068, 0.6295735836029053, -0.9784034490585327, -0.8740589618682861, 0.06727147102355957, -0.8003554344177246, 0.5490220785140991, -0.9446197748184204, -0.9981781244277954, 0.6578848361968994, -0.5952317714691162, -0.8515366315841675, 0.7762126922607422, -0.8866455554962158, -0.03644859790802002]",8377.4228515625,"[[0.870301365852356, 0.20480799674987793, 0.5115487575531006, -0.7429414987564087, -0.48658430576324463, 0.2501521110534668, 0.23448395729064941, 0.4739021062850952, -0.884138822555542, 0.7544268369674683, 0.9770885705947876, 0.8870444297790527, -0.8163331747055054, 0.9188416004180908, -0.9225497245788574, -0.6164995431900024, -0.8292068243026733, 0.7966533899307251, 0.8224296569824219, 0.703303337097168]]",3
7,28,8376.3310546875,"[-0.8608945608139038, 0.964270830154419, -0.9531426429748535, 0.8328899145126343, -0.7035949230194092, 0.7083233594894409, -0.3817037343978882, 0.9792057275772095, 0.940387487411499, -0.6767938137054443, -0.2745271921157837, 0.9475834369659424, 0.2682877779006958, -0.6792293787002563, 0.8521628379821777, 0.8758559226989746, 0.9062217473983765, 0.44968152046203613, 0.6082003116607666, -0.8251134157180786]",8376.3310546875,"[[-0.8608945608139038, 0.964270830154419, -0.9531426429748535, 0.8328899145126343, -0.7035949230194092, 0.7083233594894409, -0.3817037343978882, 0.9792057275772095, 0.940387487411499, -0.6767938137054443, -0.2745271921157837, 0.9475834369659424, 0.2682877779006958, -0.6792293787002563, 0.8521628379821777, 0.8758559226989746, 0.9062217473983765, 0.44968152046203613, 0.6082003116607666, -0.8251134157180786]]",4
8,29,8379.1298828125,"[0.5605736970901489, 0.08322536945343018, -0.5743401050567627, -0.05810189247131348, 0.2502262592315674, 0.6419912576675415, -0.6292299032211304, -0.9210033416748047, 0.6971075534820557, 0.25427961349487305, 0.7518303394317627, -0.7914339303970337, -0.5077234506607056, 0.7268291711807251, -0.6267530918121338, 0.9006938934326172, -0.8397223949432373, 0.8827290534973145, 0.5868617296218872, -0.5854235887527466]",8376.3310546875,"[[-0.8608945608139038, 0.964270830154419, -0.9531426429748535, 0.8328899145126343, -0.7035949230194092, 0.7083233594894409, -0.3817037343978882, 0.9792057275772095, 0.940387487411499, -0.6767938137054443, -0.2745271921157837, 0.9475834369659424, 0.2682877779006958, -0.6792293787002563, 0.8521628379821777, 0.8758559226989746, 0.9062217473983765, 0.44968152046203613, 0.6082003116607666, -0.8251134157180786]]",4
9,30,8379.091796875,"[0.8675096035003662, 0.8405826091766357, -0.4847140312194824, -0.8178695440292358, -0.08177578449249268, 0.13167178630828857, 0.6868904829025269, -0.538231611251831, 0.8668402433395386, 0.45430171489715576, 0.39505016803741455, -0.0760655403137207, -0.828620433807373, 0.6035516262054443, 0.9848710298538208, -0.8710919618606567, -0.9949756860733032, -0.6370069980621338, -0.5396977663040161, 0.7276924848556519]",8376.3310546875,"[[-0.8608945608139038, 0.964270830154419, -0.9531426429748535, 0.8328899145126343, -0.7035949230194092, 0.7083233594894409, -0.3817037343978882, 0.9792057275772095, 0.940387487411499, -0.6767938137054443, -0.2745271921157837, 0.9475834369659424, 0.2682877779006958, -0.6792293787002563, 0.8521628379821777, 0.8758559226989746, 0.9062217473983765, 0.44968152046203613, 0.6082003116607666, -0.8251134157180786]]",4
