iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,8380.53125,"[-0.4936021566390991, -0.43556150794029236, 0.5918614864349365, -0.6802012920379639, -0.9067369103431702, -0.08204954862594604, 0.3787320554256439, 0.9917085766792297, 0.37453901767730713, 0.9620273113250732, -0.8295953869819641, -0.6167680621147156, 0.40100377798080444, 0.33353936672210693, -0.7722945213317871, -0.16942699253559113, 0.8637848496437073, -0.6801422238349915, 0.605604887008667, -0.9526050686836243]",8380.53125,"[[-0.4936021566390991, -0.43556150794029236, 0.5918614864349365, -0.6802012920379639, -0.9067369103431702, -0.08204954862594604, 0.3787320554256439, 0.9917085766792297, 0.37453901767730713, 0.9620273113250732, -0.8295953869819641, -0.6167680621147156, 0.40100377798080444, 0.33353936672210693, -0.7722945213317871, -0.16942699253559113, 0.8637848496437073, -0.6801422238349915, 0.605604887008667, -0.9526050686836243]]",1
1,22,8380.263671875,"[-0.5869611501693726, 0.2268034666776657, -0.004374018870294094, -0.7676284313201904, 0.8924621343612671, -0.3669640123844147, 0.4408329427242279, -0.91944420337677, -0.02894120290875435, 0.6356297135353088, -0.8406029939651489, -0.5163618326187134, -0.552050769329071, 0.0229853056371212, -0.9286986589431763, -0.8144882917404175, 0.909454345703125, 0.5682371854782104, 0.8352910876274109, 0.9624156355857849]",8380.263671875,"[[-0.5869611501693726, 0.2268034666776657, -0.004374018870294094, -0.7676284313201904, 0.8924621343612671, -0.3669640123844147, 0.4408329427242279, -0.91944420337677, -0.02894120290875435, 0.6356297135353088, -0.8406029939651489, -0.5163618326187134, -0.552050769329071, 0.0229853056371212, -0.9286986589431763, -0.8144882917404175, 0.909454345703125, 0.5682371854782104, 0.8352910876274109, 0.9624156355857849]]",2
2,23,8377.6357421875,"[-0.26612985134124756, -0.9095756411552429, 0.4109862148761749, 1.0, -0.7967424988746643, 0.7304422855377197, 0.1846608966588974, 0.9773473143577576, 0.4607357680797577, -0.7517856955528259, -0.8815200924873352, -0.5943149924278259, -0.44033482670783997, 0.7837629318237305, 1.0, 0.31887856125831604, 0.4164637327194214, -0.3600864112377167, 0.8834002017974854, 0.44286954402923584]",8377.6357421875,"[[-0.26612985134124756, -0.9095756411552429, 0.4109862148761749, 1.0, -0.7967424988746643, 0.7304422855377197, 0.1846608966588974, 0.9773473143577576, 0.4607357680797577, -0.7517856955528259, -0.8815200924873352, -0.5943149924278259, -0.44033482670783997, 0.7837629318237305, 1.0, 0.31887856125831604, 0.4164637327194214, -0.3600864112377167, 0.8834002017974854, 0.44286954402923584]]",3
3,24,8379.576171875,"[0.2544335126876831, 0.18766145408153534, -0.3836677074432373, 0.8797383308410645, 0.944473922252655, -0.9549757838249207, -0.7411271333694458, 0.7614884972572327, 0.8537114262580872, 0.7836987376213074, -0.9879729151725769, -0.8196644186973572, -0.9479278922080994, 0.3181200623512268, -0.706031084060669, 0.8795220851898193, 0.6375616788864136, -0.24168848991394043, -0.35979190468788147, -0.2781226933002472]",8377.6357421875,"[[-0.26612985134124756, -0.9095756411552429, 0.4109862148761749, 1.0, -0.7967424988746643, 0.7304422855377197, 0.1846608966588974, 0.9773473143577576, 0.4607357680797577, -0.7517856955528259, -0.8815200924873352, -0.5943149924278259, -0.44033482670783997, 0.7837629318237305, 1.0, 0.31887856125831604, 0.4164637327194214, -0.3600864112377167, 0.8834002017974854, 0.44286954402923584]]",3
4,25,8379.8056640625,"[-0.8932612538337708, 0.4759979844093323, 0.9437333345413208, -0.852398693561554, 0.43819519877433777, -0.633040189743042, 0.5511743426322937, 0.7634150981903076, -1.0, 0.28829890489578247, 0.029051007702946663, -0.9528366923332214, -0.5648630261421204, 0.3078223466873169, 0.844222903251648, -0.6977066993713379, 0.011509358882904053, 0.9850279688835144, 0.7219725847244263, -0.6046097278594971]",8377.6357421875,"[[-0.26612985134124756, -0.9095756411552429, 0.4109862148761749, 1.0, -0.7967424988746643, 0.7304422855377197, 0.1846608966588974, 0.9773473143577576, 0.4607357680797577, -0.7517856955528259, -0.8815200924873352, -0.5943149924278259, -0.44033482670783997, 0.7837629318237305, 1.0, 0.31887856125831604, 0.4164637327194214, -0.3600864112377167, 0.8834002017974854, 0.44286954402923584]]",3
5,26,8377.6279296875,"[-0.5653784275054932, 0.5686545372009277, 0.9492160677909851, -0.34521156549453735, -0.05342906340956688, 0.8234921097755432, 0.907160222530365, 0.7391276359558105, 0.25891995429992676, -0.7644975781440735, -0.7418292164802551, -0.5186249613761902, 0.46294862031936646, -0.7314424514770508, -0.6056097745895386, 0.6266598105430603, -0.07999476045370102, 0.4187600612640381, 0.20258447527885437, 0.9498788714408875]",8377.6279296875,"[[-0.5653784275054932, 0.5686545372009277, 0.9492160677909851, -0.34521156549453735, -0.05342906340956688, 0.8234921097755432, 0.907160222530365, 0.7391276359558105, 0.25891995429992676, -0.7644975781440735, -0.7418292164802551, -0.5186249613761902, 0.46294862031936646, -0.7314424514770508, -0.6056097745895386, 0.6266598105430603, -0.07999476045370102, 0.4187600612640381, 0.20258447527885437, 0.9498788714408875]]",4
6,27,8381.46484375,"[-0.7518793344497681, -0.4115697741508484, -0.34287649393081665, -1.0, 0.45007672905921936, 0.29075807332992554, -0.6203802824020386, -0.7356815934181213, -0.9601852893829346, 0.8518831133842468, 0.8779280781745911, -0.13452957570552826, 0.8300846815109253, 0.9117381572723389, -0.8444862961769104, -0.2967930734157562, -0.8899394869804382, 0.3158056139945984, 0.5985856056213379, -0.5490099787712097]",8377.6279296875,"[[-0.5653784275054932, 0.5686545372009277, 0.9492160677909851, -0.34521156549453735, -0.05342906340956688, 0.8234921097755432, 0.907160222530365, 0.7391276359558105, 0.25891995429992676, -0.7644975781440735, -0.7418292164802551, -0.5186249613761902, 0.46294862031936646, -0.7314424514770508, -0.6056097745895386, 0.6266598105430603, -0.07999476045370102, 0.4187600612640381, 0.20258447527885437, 0.9498788714408875]]",4
7,28,8379.7353515625,"[0.0033324328251183033, 0.42159000039100647, 0.9241335391998291, 1.0, -0.3675633668899536, 0.4672486484050751, 0.39243265986442566, 0.31475332379341125, -0.9728544354438782, -0.9875299334526062, 0.6879666447639465, -0.7845689058303833, -0.8085920810699463, 0.46213555335998535, -0.49519962072372437, -0.7751322984695435, 1.0, 0.667485773563385, -0.04813804477453232, -0.9035820960998535]",8377.6279296875,"[[-0.5653784275054932, 0.5686545372009277, 0.9492160677909851, -0.34521156549453735, -0.05342906340956688, 0.8234921097755432, 0.907160222530365, 0.7391276359558105, 0.25891995429992676, -0.7644975781440735, -0.7418292164802551, -0.5186249613761902, 0.46294862031936646, -0.7314424514770508, -0.6056097745895386, 0.6266598105430603, -0.07999476045370102, 0.4187600612640381, 0.20258447527885437, 0.9498788714408875]]",4
8,29,8379.7978515625,"[0.8896068930625916, 0.9773989319801331, -0.8231949210166931, 0.10146252810955048, -0.060295458883047104, 0.9287903308868408, 0.0202573724091053, 0.5845134854316711, 0.041737496852874756, -0.3351462781429291, -0.5034127831459045, -0.516024649143219, 0.9123906493186951, -0.9695688486099243, -0.7934576272964478, -0.6522015929222107, -0.6031124591827393, -0.625871479511261, 0.9219089150428772, -0.20402060449123383]",8377.6279296875,"[[-0.5653784275054932, 0.5686545372009277, 0.9492160677909851, -0.34521156549453735, -0.05342906340956688, 0.8234921097755432, 0.907160222530365, 0.7391276359558105, 0.25891995429992676, -0.7644975781440735, -0.7418292164802551, -0.5186249613761902, 0.46294862031936646, -0.7314424514770508, -0.6056097745895386, 0.6266598105430603, -0.07999476045370102, 0.4187600612640381, 0.20258447527885437, 0.9498788714408875]]",4
9,30,8378.1298828125,"[0.7399826645851135, 0.8821077942848206, -0.8812572956085205, -0.7510543465614319, 0.7130914926528931, 0.9868888854980469, -0.1417735069990158, -0.8394752144813538, 0.675618588924408, 1.0, 0.6586444973945618, -0.0024164561182260513, -0.7408255338668823, -0.8906086087226868, -0.11541080474853516, -0.7297403216362, -0.08601958304643631, 1.0, 0.1501658856868744, 0.18976852297782898]",8377.6279296875,"[[-0.5653784275054932, 0.5686545372009277, 0.9492160677909851, -0.34521156549453735, -0.05342906340956688, 0.8234921097755432, 0.907160222530365, 0.7391276359558105, 0.25891995429992676, -0.7644975781440735, -0.7418292164802551, -0.5186249613761902, 0.46294862031936646, -0.7314424514770508, -0.6056097745895386, 0.6266598105430603, -0.07999476045370102, 0.4187600612640381, 0.20258447527885437, 0.9498788714408875]]",4
