iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,8378.37890625,"[0.48786449432373047, -0.028455018997192383, -0.5962567329406738, -0.7032613754272461, 0.15233445167541504, -0.17488479614257812, -0.13728833198547363, -0.40133845806121826, 0.17183244228363037, -0.036579251289367676, -0.4503055810928345, 0.8939170837402344, 0.4564402103424072, 0.4581587314605713, -0.2870079278945923, 0.363925576210022, 0.7859855890274048, 0.09179031848907471, 0.4137006998062134, 0.33586323261260986]",8378.37890625,"[[0.48786449432373047, -0.028455018997192383, -0.5962567329406738, -0.7032613754272461, 0.15233445167541504, -0.17488479614257812, -0.13728833198547363, -0.40133845806121826, 0.17183244228363037, -0.036579251289367676, -0.4503055810928345, 0.8939170837402344, 0.4564402103424072, 0.4581587314605713, -0.2870079278945923, 0.363925576210022, 0.7859855890274048, 0.09179031848907471, 0.4137006998062134, 0.33586323261260986]]",1
1,22,8376.267578125,"[0.15130198001861572, -0.06279623508453369, 0.5069108009338379, 0.42402541637420654, 0.4348411560058594, 0.8745146989822388, -0.4675365686416626, 0.8282381296157837, 0.118735671043396, 0.2176610231399536, 0.8725937604904175, 0.3422842025756836, 0.7267074584960938, -0.6144188642501831, 0.3959038257598877, -0.3274807929992676, 0.8749144077301025, 0.23262739181518555, -0.42638683319091797, -0.4994077682495117]",8376.267578125,"[[0.15130198001861572, -0.06279623508453369, 0.5069108009338379, 0.42402541637420654, 0.4348411560058594, 0.8745146989822388, -0.4675365686416626, 0.8282381296157837, 0.118735671043396, 0.2176610231399536, 0.8725937604904175, 0.3422842025756836, 0.7267074584960938, -0.6144188642501831, 0.3959038257598877, -0.3274807929992676, 0.8749144077301025, 0.23262739181518555, -0.42638683319091797, -0.4994077682495117]]",2
2,23,8382.8349609375,"[-0.8009328842163086, 0.10969960689544678, 0.28372740745544434, 0.02732670307159424, 0.2643392086029053, -0.4647369384765625, -0.5540574789047241, 0.032620906829833984, -0.29754912853240967, -0.4557591676712036, -0.415879487991333, -0.8595783710479736, -0.4056549072265625, 0.7609368562698364, 0.08706998825073242, -0.04690408706665039, -0.4511532783508301, -0.6185333728790283, -0.6037821769714355, -0.10786843299865723]",8376.267578125,"[[0.15130198001861572, -0.06279623508453369, 0.5069108009338379, 0.42402541637420654, 0.4348411560058594, 0.8745146989822388, -0.4675365686416626, 0.8282381296157837, 0.118735671043396, 0.2176610231399536, 0.8725937604904175, 0.3422842025756836, 0.7267074584960938, -0.6144188642501831, 0.3959038257598877, -0.3274807929992676, 0.8749144077301025, 0.23262739181518555, -0.42638683319091797, -0.4994077682495117]]",2
3,24,8379.2880859375,"[-0.1996166706085205, -0.10368406772613525, -0.2753695249557495, 0.9021106958389282, 0.09506595134735107, -0.06901299953460693, -0.6577703952789307, -0.23324143886566162, 0.6242964267730713, 0.6530426740646362, 0.3821268081665039, 0.869530200958252, -0.17843711376190186, -0.6367877721786499, 0.03709995746612549, -0.03804647922515869, 0.2686823606491089, -0.6123530864715576, -0.29465043544769287, -0.5649341344833374]",8376.267578125,"[[0.15130198001861572, -0.06279623508453369, 0.5069108009338379, 0.42402541637420654, 0.4348411560058594, 0.8745146989822388, -0.4675365686416626, 0.8282381296157837, 0.118735671043396, 0.2176610231399536, 0.8725937604904175, 0.3422842025756836, 0.7267074584960938, -0.6144188642501831, 0.3959038257598877, -0.3274807929992676, 0.8749144077301025, 0.23262739181518555, -0.42638683319091797, -0.4994077682495117]]",2
4,25,8377.46484375,"[-0.31266510486602783, 0.10855221748352051, -0.525611162185669, 0.8802546262741089, 0.20879125595092773, -0.3016544580459595, 0.3803536891937256, 0.11001753807067871, 0.14304590225219727, 0.6513919830322266, 0.13630664348602295, -0.5264562368392944, 0.25881803035736084, 0.4937915802001953, -0.10828006267547607, -0.5230021476745605, 0.8698914051055908, 0.5050560235977173, 0.6274154186248779, -0.034882307052612305]",8376.267578125,"[[0.15130198001861572, -0.06279623508453369, 0.5069108009338379, 0.42402541637420654, 0.4348411560058594, 0.8745146989822388, -0.4675365686416626, 0.8282381296157837, 0.118735671043396, 0.2176610231399536, 0.8725937604904175, 0.3422842025756836, 0.7267074584960938, -0.6144188642501831, 0.3959038257598877, -0.3274807929992676, 0.8749144077301025, 0.23262739181518555, -0.42638683319091797, -0.4994077682495117]]",2
5,26,8375.453125,"[0.42924320697784424, -0.047275662422180176, -0.05421340465545654, 0.6469254493713379, -0.061859846115112305, -0.7882030010223389, -0.3404344320297241, 0.5541120767593384, 0.7778431177139282, 0.8599015474319458, 0.24456357955932617, -0.07666313648223877, 0.6282552480697632, 0.35310447216033936, 0.6829675436019897, -0.35031819343566895, 0.8710880279541016, 0.8777673244476318, 0.3768976926803589, 0.010431408882141113]",8375.453125,"[[0.42924320697784424, -0.047275662422180176, -0.05421340465545654, 0.6469254493713379, -0.061859846115112305, -0.7882030010223389, -0.3404344320297241, 0.5541120767593384, 0.7778431177139282, 0.8599015474319458, 0.24456357955932617, -0.07666313648223877, 0.6282552480697632, 0.35310447216033936, 0.6829675436019897, -0.35031819343566895, 0.8710880279541016, 0.8777673244476318, 0.3768976926803589, 0.010431408882141113]]",3
6,27,8377.1982421875,"[0.0007941722869873047, 0.31589508056640625, -0.09421849250793457, 0.660527229309082, 0.6832491159439087, -0.7807067632675171, 0.7826632261276245, -0.03926372528076172, 0.47305846214294434, 0.06657600402832031, 0.7502137422561646, -0.22447049617767334, 0.3146040439605713, -0.08891570568084717, 0.3190051317214966, -0.6753838062286377, 0.559037446975708, 0.9688615798950195, 0.008495330810546875, -0.6246328353881836]",8375.453125,"[[0.42924320697784424, -0.047275662422180176, -0.05421340465545654, 0.6469254493713379, -0.061859846115112305, -0.7882030010223389, -0.3404344320297241, 0.5541120767593384, 0.7778431177139282, 0.8599015474319458, 0.24456357955932617, -0.07666313648223877, 0.6282552480697632, 0.35310447216033936, 0.6829675436019897, -0.35031819343566895, 0.8710880279541016, 0.8777673244476318, 0.3768976926803589, 0.010431408882141113]]",3
7,28,8382.6806640625,"[-0.37917864322662354, -0.16839849948883057, -0.022748112678527832, -0.7269129753112793, -0.5115491151809692, -0.7048125267028809, -0.815829873085022, -0.04013228416442871, -0.3885434865951538, 0.15558207035064697, -0.049115896224975586, -0.6940271854400635, -0.46502792835235596, 0.4793233871459961, 0.8883857727050781, -0.28222060203552246, 0.3705800771713257, -0.10890507698059082, -0.3880554437637329, -0.6929744482040405]",8375.453125,"[[0.42924320697784424, -0.047275662422180176, -0.05421340465545654, 0.6469254493713379, -0.061859846115112305, -0.7882030010223389, -0.3404344320297241, 0.5541120767593384, 0.7778431177139282, 0.8599015474319458, 0.24456357955932617, -0.07666313648223877, 0.6282552480697632, 0.35310447216033936, 0.6829675436019897, -0.35031819343566895, 0.8710880279541016, 0.8777673244476318, 0.3768976926803589, 0.010431408882141113]]",3
8,29,8377.3623046875,"[0.11800599098205566, -0.11347568035125732, 0.006157040596008301, 0.7448067665100098, 0.7907094955444336, -0.8655012845993042, 0.3057732582092285, -0.1924450397491455, -0.1727360486984253, -0.5027865171432495, 0.11019694805145264, 0.7925035953521729, 0.0051430463790893555, -0.03189969062805176, 0.6867275238037109, 0.7479310035705566, 0.43143439292907715, -0.018174052238464355, -0.0523219108581543, 0.29756319522857666]",8375.453125,"[[0.42924320697784424, -0.047275662422180176, -0.05421340465545654, 0.6469254493713379, -0.061859846115112305, -0.7882030010223389, -0.3404344320297241, 0.5541120767593384, 0.7778431177139282, 0.8599015474319458, 0.24456357955932617, -0.07666313648223877, 0.6282552480697632, 0.35310447216033936, 0.6829675436019897, -0.35031819343566895, 0.8710880279541016, 0.8777673244476318, 0.3768976926803589, 0.010431408882141113]]",3
9,30,8378.619140625,"[0.3346822261810303, -0.07112443447113037, -0.15929055213928223, 0.6905527114868164, -0.3127286434173584, -0.5805536508560181, 0.9791971445083618, -0.7027523517608643, 0.3332880735397339, 0.08594882488250732, 0.6985472440719604, -0.3520925045013428, 0.8102917671203613, -0.08904623985290527, -0.2647339105606079, -0.8273186683654785, 0.21204590797424316, 0.8481512069702148, 0.39746034145355225, -0.8278731107711792]",8375.453125,"[[0.42924320697784424, -0.047275662422180176, -0.05421340465545654, 0.6469254493713379, -0.061859846115112305, -0.7882030010223389, -0.3404344320297241, 0.5541120767593384, 0.7778431177139282, 0.8599015474319458, 0.24456357955932617, -0.07666313648223877, 0.6282552480697632, 0.35310447216033936, 0.6829675436019897, -0.35031819343566895, 0.8710880279541016, 0.8777673244476318, 0.3768976926803589, 0.010431408882141113]]",3
10,31,8379.9189453125,"[0.5122424364089966, -0.34354257583618164, -0.22881126403808594, 0.609740138053894, 0.08641552925109863, 0.6376193761825562, -0.7197459936141968, -0.15576982498168945, 0.0005793571472167969, 0.2558814287185669, -0.011239767074584961, 0.2706562280654907, -0.9342086315155029, -0.2873579263687134, -0.11966955661773682, 0.28918004035949707, 0.13976716995239258, 0.5938247442245483, -0.0678708553314209, -0.7067580223083496]",8375.453125,"[[0.42924320697784424, -0.047275662422180176, -0.05421340465545654, 0.6469254493713379, -0.061859846115112305, -0.7882030010223389, -0.3404344320297241, 0.5541120767593384, 0.7778431177139282, 0.8599015474319458, 0.24456357955932617, -0.07666313648223877, 0.6282552480697632, 0.35310447216033936, 0.6829675436019897, -0.35031819343566895, 0.8710880279541016, 0.8777673244476318, 0.3768976926803589, 0.010431408882141113]]",3
