iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,8379.841796875,"[0.7791708707809448, 0.9841892719268799, 0.3441746234893799, -0.0010426044464111328, -0.9906213283538818, 0.6603593826293945, -0.501079797744751, -0.2775585651397705, 0.3437765836715698, -0.6432936191558838, -0.8699946403503418, -0.6103992462158203, 0.5774821043014526, -0.48730945587158203, 0.6901476383209229, -0.6128257513046265, -0.5460057258605957, -0.22209513187408447, 0.49029481410980225, 0.5985262393951416]",8379.841796875,"[[0.7791708707809448, 0.9841892719268799, 0.3441746234893799, -0.0010426044464111328, -0.9906213283538818, 0.6603593826293945, -0.501079797744751, -0.2775585651397705, 0.3437765836715698, -0.6432936191558838, -0.8699946403503418, -0.6103992462158203, 0.5774821043014526, -0.48730945587158203, 0.6901476383209229, -0.6128257513046265, -0.5460057258605957, -0.22209513187408447, 0.49029481410980225, 0.5985262393951416]]",1
1,22,8379.5732421875,"[-0.6577279567718506, 0.9800611734390259, 0.5101780891418457, 0.2793666124343872, -0.42497801780700684, 0.9125174283981323, 0.7787134647369385, -0.3261984586715698, -0.9687252044677734, 0.7732937335968018, -0.648276686668396, -0.1403045654296875, 0.9189045429229736, 0.8600623607635498, 0.7523291110992432, -0.9930320978164673, -0.5160166025161743, -0.818494439125061, -0.6571438312530518, -0.8249853849411011]",8379.5732421875,"[[-0.6577279567718506, 0.9800611734390259, 0.5101780891418457, 0.2793666124343872, -0.42497801780700684, 0.9125174283981323, 0.7787134647369385, -0.3261984586715698, -0.9687252044677734, 0.7732937335968018, -0.648276686668396, -0.1403045654296875, 0.9189045429229736, 0.8600623607635498, 0.7523291110992432, -0.9930320978164673, -0.5160166025161743, -0.818494439125061, -0.6571438312530518, -0.8249853849411011]]",2
2,23,8380.052734375,"[-0.42444705963134766, -0.6646287441253662, -0.9429620504379272, 0.6564251184463501, 0.3090784549713135, -0.901907205581665, 0.9145938158035278, -0.5066155195236206, -0.1339184045791626, 0.8905611038208008, 0.8902842998504639, -0.5857753753662109, 0.6757633686065674, -0.9906682968139648, -0.3297070264816284, 0.6185436248779297, -0.9361854791641235, -0.13145911693572998, 0.8575695753097534, 0.1132279634475708]",8379.5732421875,"[[-0.6577279567718506, 0.9800611734390259, 0.5101780891418457, 0.2793666124343872, -0.42497801780700684, 0.9125174283981323, 0.7787134647369385, -0.3261984586715698, -0.9687252044677734, 0.7732937335968018, -0.648276686668396, -0.1403045654296875, 0.9189045429229736, 0.8600623607635498, 0.7523291110992432, -0.9930320978164673, -0.5160166025161743, -0.818494439125061, -0.6571438312530518, -0.8249853849411011]]",2
3,24,8379.515625,"[-0.3640826940536499, -0.6988064050674438, 0.7093511819839478, -0.8482249975204468, 0.10688304901123047, 0.3752809762954712, 0.7547458410263062, 0.47582900524139404, 0.8782267570495605, -0.9202854633331299, -0.7350924015045166, 0.7830774784088135, 0.5059179067611694, -0.7432254552841187, -0.7259528636932373, 0.4123173952102661, 0.07770824432373047, 0.08355152606964111, -0.057613253593444824, 0.5684804916381836]",8379.515625,"[[-0.3640826940536499, -0.6988064050674438, 0.7093511819839478, -0.8482249975204468, 0.10688304901123047, 0.3752809762954712, 0.7547458410263062, 0.47582900524139404, 0.8782267570495605, -0.9202854633331299, -0.7350924015045166, 0.7830774784088135, 0.5059179067611694, -0.7432254552841187, -0.7259528636932373, 0.4123173952102661, 0.07770824432373047, 0.08355152606964111, -0.057613253593444824, 0.5684804916381836]]",3
4,25,8380.0439453125,"[0.8218220472335815, 0.1279512643814087, 0.21839964389801025, -0.6555886268615723, -0.7534409761428833, -0.9053444862365723, -0.9726735353469849, 0.0429990291595459, 0.3144114017486572, 0.055719971656799316, -0.09835326671600342, 0.9389209747314453, 0.3035140037536621, 0.8049652576446533, -0.5577027797698975, -0.8371624946594238, -0.843329668045044, 0.8256101608276367, 0.953886866569519, -0.04715430736541748]",8379.515625,"[[-0.3640826940536499, -0.6988064050674438, 0.7093511819839478, -0.8482249975204468, 0.10688304901123047, 0.3752809762954712, 0.7547458410263062, 0.47582900524139404, 0.8782267570495605, -0.9202854633331299, -0.7350924015045166, 0.7830774784088135, 0.5059179067611694, -0.7432254552841187, -0.7259528636932373, 0.4123173952102661, 0.07770824432373047, 0.08355152606964111, -0.057613253593444824, 0.5684804916381836]]",3
5,26,8380.140625,"[-0.4304102659225464, 0.06644558906555176, 0.8266489505767822, 0.8784353733062744, -0.4104717969894409, 0.07287907600402832, -0.7393944263458252, 0.4240678548812866, 0.1052703857421875, 0.9226734638214111, -0.9934316873550415, -0.8669074773788452, -0.8818695545196533, 0.7645920515060425, 0.15063202381134033, -0.876219630241394, -0.5520592927932739, 0.7440675497055054, 0.7092993259429932, -0.46181535720825195]",8379.515625,"[[-0.3640826940536499, -0.6988064050674438, 0.7093511819839478, -0.8482249975204468, 0.10688304901123047, 0.3752809762954712, 0.7547458410263062, 0.47582900524139404, 0.8782267570495605, -0.9202854633331299, -0.7350924015045166, 0.7830774784088135, 0.5059179067611694, -0.7432254552841187, -0.7259528636932373, 0.4123173952102661, 0.07770824432373047, 0.08355152606964111, -0.057613253593444824, 0.5684804916381836]]",3
6,27,8379.14453125,"[0.5704675912857056, 0.8185760974884033, -0.9724076986312866, -0.7431603670120239, -0.10067236423492432, 0.35943901538848877, 0.9382498264312744, 0.6569011211395264, 0.8464087247848511, -0.8504006862640381, 0.7740281820297241, 0.43223798274993896, -0.5735172033309937, -0.9849541187286377, -0.38440263271331787, 0.8498924970626831, -0.5889689922332764, 0.2244091033935547, -0.17919445037841797, -0.45604968070983887]",8379.14453125,"[[0.5704675912857056, 0.8185760974884033, -0.9724076986312866, -0.7431603670120239, -0.10067236423492432, 0.35943901538848877, 0.9382498264312744, 0.6569011211395264, 0.8464087247848511, -0.8504006862640381, 0.7740281820297241, 0.43223798274993896, -0.5735172033309937, -0.9849541187286377, -0.38440263271331787, 0.8498924970626831, -0.5889689922332764, 0.2244091033935547, -0.17919445037841797, -0.45604968070983887]]",4
7,28,8383.5146484375,"[-0.45706188678741455, 0.17629730701446533, 0.9414222240447998, -0.46069657802581787, 0.04741322994232178, 0.9467930793762207, 0.1354161500930786, 0.6791329383850098, -0.8811885118484497, -0.5653282403945923, -0.7496130466461182, 0.7291440963745117, -0.9373370409011841, -0.9718395471572876, -0.952193021774292, -0.9867790937423706, 0.5756193399429321, -0.42485523223876953, -0.652506947517395, -0.9723163843154907]",8379.14453125,"[[0.5704675912857056, 0.8185760974884033, -0.9724076986312866, -0.7431603670120239, -0.10067236423492432, 0.35943901538848877, 0.9382498264312744, 0.6569011211395264, 0.8464087247848511, -0.8504006862640381, 0.7740281820297241, 0.43223798274993896, -0.5735172033309937, -0.9849541187286377, -0.38440263271331787, 0.8498924970626831, -0.5889689922332764, 0.2244091033935547, -0.17919445037841797, -0.45604968070983887]]",4
8,29,8380.7626953125,"[-0.29031693935394287, -0.8636486530303955, 0.832606315612793, 0.05342841148376465, -0.3378957509994507, 0.4467126131057739, 0.7165718078613281, -0.860709547996521, 0.2275526523590088, -0.9494402408599854, 0.218239426612854, -0.9008347988128662, 0.33575475215911865, 0.6720513105392456, -0.6565533876419067, -0.9516940116882324, 0.7067618370056152, 0.6090642213821411, 0.7483501434326172, -0.6910501718521118]",8379.14453125,"[[0.5704675912857056, 0.8185760974884033, -0.9724076986312866, -0.7431603670120239, -0.10067236423492432, 0.35943901538848877, 0.9382498264312744, 0.6569011211395264, 0.8464087247848511, -0.8504006862640381, 0.7740281820297241, 0.43223798274993896, -0.5735172033309937, -0.9849541187286377, -0.38440263271331787, 0.8498924970626831, -0.5889689922332764, 0.2244091033935547, -0.17919445037841797, -0.45604968070983887]]",4
9,30,8380.7900390625,"[-0.982964038848877, 0.27218329906463623, -0.14049947261810303, -0.7622576951980591, -0.6640733480453491, 0.9346197843551636, 0.48294734954833984, -0.7791004180908203, 0.7021521329879761, 0.5090610980987549, -0.6533373594284058, -0.5754597187042236, 0.06927192211151123, 0.20215344429016113, -0.13693201541900635, -0.13891005516052246, 0.5808329582214355, -0.3865339756011963, 0.9292922019958496, -0.9172663688659668]",8379.14453125,"[[0.5704675912857056, 0.8185760974884033, -0.9724076986312866, -0.7431603670120239, -0.10067236423492432, 0.35943901538848877, 0.9382498264312744, 0.6569011211395264, 0.8464087247848511, -0.8504006862640381, 0.7740281820297241, 0.43223798274993896, -0.5735172033309937, -0.9849541187286377, -0.38440263271331787, 0.8498924970626831, -0.5889689922332764, 0.2244091033935547, -0.17919445037841797, -0.45604968070983887]]",4
