iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,8380.0673828125,"[0.43768393993377686, 0.8722934722900391, 0.025940895080566406, -0.6876363754272461, 0.8556259870529175, 0.2135249376296997, -0.5741772651672363, 0.5259944200515747, 0.22850871086120605, 0.3550671339035034, -0.6801638603210449, 0.5019991397857666, -0.6801189184188843, -0.8691257238388062, 0.18967795372009277, 0.4718608856201172, -0.36378490924835205, -0.008812308311462402, -0.5343993902206421, -0.5312315225601196]",8380.0673828125,"[[0.43768393993377686, 0.8722934722900391, 0.025940895080566406, -0.6876363754272461, 0.8556259870529175, 0.2135249376296997, -0.5741772651672363, 0.5259944200515747, 0.22850871086120605, 0.3550671339035034, -0.6801638603210449, 0.5019991397857666, -0.6801189184188843, -0.8691257238388062, 0.18967795372009277, 0.4718608856201172, -0.36378490924835205, -0.008812308311462402, -0.5343993902206421, -0.5312315225601196]]",1
1,22,8378.005859375,"[-0.7059592008590698, 0.7821896076202393, -0.20402288436889648, -0.059645891189575195, -0.5056843757629395, -0.9883116483688354, 0.9315195083618164, 0.21462440490722656, 0.008620023727416992, 0.4879106283187866, -0.6980739831924438, 0.717267632484436, 0.7278696298599243, 0.5771855115890503, 0.2412111759185791, 0.8450994491577148, -0.08716464042663574, -0.5990663766860962, 0.3853187561035156, 0.2450951337814331]",8378.005859375,"[[-0.7059592008590698, 0.7821896076202393, -0.20402288436889648, -0.059645891189575195, -0.5056843757629395, -0.9883116483688354, 0.9315195083618164, 0.21462440490722656, 0.008620023727416992, 0.4879106283187866, -0.6980739831924438, 0.717267632484436, 0.7278696298599243, 0.5771855115890503, 0.2412111759185791, 0.8450994491577148, -0.08716464042663574, -0.5990663766860962, 0.3853187561035156, 0.2450951337814331]]",2
2,23,8379.16796875,"[0.24641263484954834, 0.8475320339202881, 0.9513925313949585, 0.9239888191223145, 0.006366610527038574, -0.3939208984375, -0.003279566764831543, 0.5245254039764404, -0.8606866598129272, -0.3118293285369873, 0.08847033977508545, 0.4784432649612427, -0.31946325302124023, 0.6619071960449219, -0.00027871131896972656, -0.9862695932388306, 0.6506686210632324, -0.6572582721710205, -0.991945743560791, -0.18765568733215332]",8378.005859375,"[[-0.7059592008590698, 0.7821896076202393, -0.20402288436889648, -0.059645891189575195, -0.5056843757629395, -0.9883116483688354, 0.9315195083618164, 0.21462440490722656, 0.008620023727416992, 0.4879106283187866, -0.6980739831924438, 0.717267632484436, 0.7278696298599243, 0.5771855115890503, 0.2412111759185791, 0.8450994491577148, -0.08716464042663574, -0.5990663766860962, 0.3853187561035156, 0.2450951337814331]]",2
3,24,8377.6748046875,"[-0.13365471363067627, -0.5240130424499512, -0.6094750165939331, 0.4273111820220947, -0.3733595609664917, 0.958663821220398, 0.4651864767074585, -0.3168410062789917, -0.9302376508712769, 0.4421912431716919, 0.4015446901321411, 0.8918448686599731, 0.7569689750671387, 0.6578848361968994, 0.8796899318695068, 0.2038975954055786, -0.7222057580947876, 0.14279651641845703, -0.9629102945327759, 0.9646984338760376]",8377.6748046875,"[[-0.13365471363067627, -0.5240130424499512, -0.6094750165939331, 0.4273111820220947, -0.3733595609664917, 0.958663821220398, 0.4651864767074585, -0.3168410062789917, -0.9302376508712769, 0.4421912431716919, 0.4015446901321411, 0.8918448686599731, 0.7569689750671387, 0.6578848361968994, 0.8796899318695068, 0.2038975954055786, -0.7222057580947876, 0.14279651641845703, -0.9629102945327759, 0.9646984338760376]]",3
4,25,8384.01953125,"[0.46368706226348877, -0.01307976245880127, 0.40570592880249023, 0.16869235038757324, 0.4271869659423828, -0.9700348377227783, -0.8750814199447632, -0.5337175130844116, 0.2756538391113281, -0.9115387201309204, -0.37196528911590576, -0.42337679862976074, -0.9494984149932861, 0.2868393659591675, -0.05628848075866699, -0.6484378576278687, 0.06617248058319092, 0.3195573091506958, -0.931261420249939, -0.7523373365402222]",8377.6748046875,"[[-0.13365471363067627, -0.5240130424499512, -0.6094750165939331, 0.4273111820220947, -0.3733595609664917, 0.958663821220398, 0.4651864767074585, -0.3168410062789917, -0.9302376508712769, 0.4421912431716919, 0.4015446901321411, 0.8918448686599731, 0.7569689750671387, 0.6578848361968994, 0.8796899318695068, 0.2038975954055786, -0.7222057580947876, 0.14279651641845703, -0.9629102945327759, 0.9646984338760376]]",3
5,26,8379.33984375,"[0.3446187973022461, -0.14058125019073486, 0.6529837846755981, -0.3392448425292969, -0.3256269693374634, 0.047208547592163086, 0.1816866397857666, 0.5629211664199829, -0.9073810577392578, 0.5390498638153076, -0.6973743438720703, 0.5832250118255615, -0.9927140474319458, 0.8505477905273438, 0.7086783647537231, 0.602027177810669, -0.5583661794662476, 0.46990764141082764, -0.8439338207244873, 0.13978755474090576]",8377.6748046875,"[[-0.13365471363067627, -0.5240130424499512, -0.6094750165939331, 0.4273111820220947, -0.3733595609664917, 0.958663821220398, 0.4651864767074585, -0.3168410062789917, -0.9302376508712769, 0.4421912431716919, 0.4015446901321411, 0.8918448686599731, 0.7569689750671387, 0.6578848361968994, 0.8796899318695068, 0.2038975954055786, -0.7222057580947876, 0.14279651641845703, -0.9629102945327759, 0.9646984338760376]]",3
6,27,8378.20703125,"[0.986237645149231, -0.48536014556884766, -0.17908155918121338, 0.3655179738998413, 0.1307511329650879, 0.04633736610412598, 0.7963273525238037, 0.6810475587844849, 0.157212495803833, 0.5324994325637817, -0.20760798454284668, -0.7982795238494873, -0.05776333808898926, -0.6046053171157837, -0.8959970474243164, 0.4564417600631714, 0.4916799068450928, 0.6450361013412476, 0.22271466255187988, -0.2131786346435547]",8377.6748046875,"[[-0.13365471363067627, -0.5240130424499512, -0.6094750165939331, 0.4273111820220947, -0.3733595609664917, 0.958663821220398, 0.4651864767074585, -0.3168410062789917, -0.9302376508712769, 0.4421912431716919, 0.4015446901321411, 0.8918448686599731, 0.7569689750671387, 0.6578848361968994, 0.8796899318695068, 0.2038975954055786, -0.7222057580947876, 0.14279651641845703, -0.9629102945327759, 0.9646984338760376]]",3
7,28,8378.677734375,"[0.6015417575836182, 0.12342214584350586, 0.3943713903427124, -0.23216044902801514, 0.35661745071411133, -0.7090679407119751, -0.49646151065826416, 0.27968931198120117, -0.053450703620910645, 0.3526252508163452, 0.5391545295715332, 0.7911602258682251, 0.6423126459121704, -0.02667975425720215, 0.5475642681121826, 0.39200472831726074, -0.9072474241256714, 0.026711463928222656, 0.19688785076141357, -0.8395315408706665]",8377.6748046875,"[[-0.13365471363067627, -0.5240130424499512, -0.6094750165939331, 0.4273111820220947, -0.3733595609664917, 0.958663821220398, 0.4651864767074585, -0.3168410062789917, -0.9302376508712769, 0.4421912431716919, 0.4015446901321411, 0.8918448686599731, 0.7569689750671387, 0.6578848361968994, 0.8796899318695068, 0.2038975954055786, -0.7222057580947876, 0.14279651641845703, -0.9629102945327759, 0.9646984338760376]]",3
8,29,8382.58203125,"[-0.5798243284225464, -0.7797212600708008, -0.7298529148101807, -0.06127822399139404, 0.11265945434570312, 0.16836035251617432, -0.47712886333465576, -0.8237322568893433, 0.31704163551330566, -0.6409056186676025, 0.6306775808334351, -0.21418917179107666, -0.5790480375289917, -0.5884172916412354, -0.23949527740478516, 0.6009141206741333, 0.9749612808227539, 0.22074377536773682, -0.6035975217819214, -0.751242995262146]",8377.6748046875,"[[-0.13365471363067627, -0.5240130424499512, -0.6094750165939331, 0.4273111820220947, -0.3733595609664917, 0.958663821220398, 0.4651864767074585, -0.3168410062789917, -0.9302376508712769, 0.4421912431716919, 0.4015446901321411, 0.8918448686599731, 0.7569689750671387, 0.6578848361968994, 0.8796899318695068, 0.2038975954055786, -0.7222057580947876, 0.14279651641845703, -0.9629102945327759, 0.9646984338760376]]",3
9,30,8380.859375,"[-0.4175056219100952, 0.7271606922149658, -0.11438179016113281, 0.7890199422836304, -0.8313977718353271, -0.6401408910751343, -0.5658285617828369, 0.7224488258361816, 0.3160451650619507, 0.1530904769897461, -0.947695255279541, 0.2961440086364746, 0.4195890426635742, -0.5363277196884155, 0.9374488592147827, -0.4767364263534546, -0.6351170539855957, 0.08831977844238281, -0.8362563848495483, 0.06136524677276611]",8377.6748046875,"[[-0.13365471363067627, -0.5240130424499512, -0.6094750165939331, 0.4273111820220947, -0.3733595609664917, 0.958663821220398, 0.4651864767074585, -0.3168410062789917, -0.9302376508712769, 0.4421912431716919, 0.4015446901321411, 0.8918448686599731, 0.7569689750671387, 0.6578848361968994, 0.8796899318695068, 0.2038975954055786, -0.7222057580947876, 0.14279651641845703, -0.9629102945327759, 0.9646984338760376]]",3
