iteration,number_of_points,new_sampled_point_observation,new_sampled_point,best_observation,best_point,number_of_improvement
0,21,8378.94921875,"[-0.787994384765625, -0.2720167636871338, 0.7291269302368164, 0.3994431495666504, 0.2875603437423706, 0.4047887325286865, -0.9047960042953491, 0.8964666128158569, -0.46710991859436035, -0.04996788501739502, 0.5163590908050537, -0.8388931751251221, 0.45977020263671875, 0.8276944160461426, 0.5001657009124756, 0.6678497791290283, -0.878036379814148, -0.28154003620147705, -0.20421433448791504, 0.22791993618011475]",8378.94921875,"[[-0.787994384765625, -0.2720167636871338, 0.7291269302368164, 0.3994431495666504, 0.2875603437423706, 0.4047887325286865, -0.9047960042953491, 0.8964666128158569, -0.46710991859436035, -0.04996788501739502, 0.5163590908050537, -0.8388931751251221, 0.45977020263671875, 0.8276944160461426, 0.5001657009124756, 0.6678497791290283, -0.878036379814148, -0.28154003620147705, -0.20421433448791504, 0.22791993618011475]]",1
1,22,8378.7919921875,"[0.8100069761276245, 0.6215938329696655, -0.8122406005859375, -0.5987063646316528, -0.6519768238067627, 0.19965171813964844, 0.5512040853500366, -0.16698765754699707, -0.027417778968811035, -0.18926143646240234, -0.34718871116638184, 0.6280522346496582, 0.6662405729293823, -0.5511590242385864, 0.9196734428405762, -0.6180561780929565, -0.17410874366760254, 0.6444340944290161, 0.3899872303009033, -0.47737741470336914]",8378.7919921875,"[[0.8100069761276245, 0.6215938329696655, -0.8122406005859375, -0.5987063646316528, -0.6519768238067627, 0.19965171813964844, 0.5512040853500366, -0.16698765754699707, -0.027417778968811035, -0.18926143646240234, -0.34718871116638184, 0.6280522346496582, 0.6662405729293823, -0.5511590242385864, 0.9196734428405762, -0.6180561780929565, -0.17410874366760254, 0.6444340944290161, 0.3899872303009033, -0.47737741470336914]]",2
2,23,8380.658203125,"[0.01777029037475586, -0.6985486745834351, -0.6286331415176392, 0.5788346529006958, -0.7350481748580933, 0.354597806930542, 0.1444382667541504, -0.468753457069397, -0.9273008108139038, -0.36811399459838867, -0.9468423128128052, 0.524420976638794, 0.16316139698028564, -0.2671102285385132, 0.27440381050109863, 0.8627183437347412, -0.9031987190246582, 0.9604606628417969, 0.4221670627593994, 0.6737269163131714]",8378.7919921875,"[[0.8100069761276245, 0.6215938329696655, -0.8122406005859375, -0.5987063646316528, -0.6519768238067627, 0.19965171813964844, 0.5512040853500366, -0.16698765754699707, -0.027417778968811035, -0.18926143646240234, -0.34718871116638184, 0.6280522346496582, 0.6662405729293823, -0.5511590242385864, 0.9196734428405762, -0.6180561780929565, -0.17410874366760254, 0.6444340944290161, 0.3899872303009033, -0.47737741470336914]]",2
3,24,8379.0146484375,"[0.4468179941177368, 0.585433840751648, 0.3269660472869873, 0.752433180809021, 0.632664680480957, -0.1697244644165039, -0.941002607345581, 0.49670159816741943, 0.8015401363372803, -0.6995772123336792, -0.617682933807373, -0.4810187816619873, -0.38072288036346436, 0.4434080123901367, 0.808018684387207, -0.43893158435821533, -0.1908787488937378, -0.015972018241882324, -0.4533352851867676, -0.2655367851257324]",8378.7919921875,"[[0.8100069761276245, 0.6215938329696655, -0.8122406005859375, -0.5987063646316528, -0.6519768238067627, 0.19965171813964844, 0.5512040853500366, -0.16698765754699707, -0.027417778968811035, -0.18926143646240234, -0.34718871116638184, 0.6280522346496582, 0.6662405729293823, -0.5511590242385864, 0.9196734428405762, -0.6180561780929565, -0.17410874366760254, 0.6444340944290161, 0.3899872303009033, -0.47737741470336914]]",2
4,25,8378.4375,"[0.2032078504562378, 0.9820135831832886, 0.9909443855285645, 0.5875892639160156, -0.5993494987487793, 0.6418417692184448, 0.695846676826477, 0.5942007303237915, -0.06839382648468018, 0.760791540145874, -0.9272937774658203, -0.9811562299728394, 0.3464162349700928, 0.8410509824752808, -0.494143009185791, -0.8146877288818359, -0.3404768705368042, -0.08429539203643799, 0.34725069999694824, -0.9292172193527222]",8378.4375,"[[0.2032078504562378, 0.9820135831832886, 0.9909443855285645, 0.5875892639160156, -0.5993494987487793, 0.6418417692184448, 0.695846676826477, 0.5942007303237915, -0.06839382648468018, 0.760791540145874, -0.9272937774658203, -0.9811562299728394, 0.3464162349700928, 0.8410509824752808, -0.494143009185791, -0.8146877288818359, -0.3404768705368042, -0.08429539203643799, 0.34725069999694824, -0.9292172193527222]]",3
5,26,8379.2587890625,"[0.6795700788497925, 0.3850855827331543, -0.28560101985931396, -0.3840177059173584, -0.8136558532714844, -0.5816775560379028, 0.7769443988800049, 0.6240634918212891, -0.6784683465957642, -0.4498955011367798, -0.5402661561965942, 0.41857385635375977, 0.7332156896591187, -0.8840738534927368, -0.3205314874649048, -0.49169492721557617, 0.7840549945831299, 0.935295581817627, 0.5991249084472656, -0.3829115629196167]",8378.4375,"[[0.2032078504562378, 0.9820135831832886, 0.9909443855285645, 0.5875892639160156, -0.5993494987487793, 0.6418417692184448, 0.695846676826477, 0.5942007303237915, -0.06839382648468018, 0.760791540145874, -0.9272937774658203, -0.9811562299728394, 0.3464162349700928, 0.8410509824752808, -0.494143009185791, -0.8146877288818359, -0.3404768705368042, -0.08429539203643799, 0.34725069999694824, -0.9292172193527222]]",3
6,27,8378.4775390625,"[0.3396799564361572, 0.950569748878479, 0.008418679237365723, 0.6660747528076172, -0.9056481122970581, -0.09620141983032227, 0.6855723857879639, 0.7627183198928833, -0.4743175506591797, -0.7304049730300903, 0.1447979211807251, 0.414827823638916, -0.7336564064025879, 0.2194375991821289, -0.7393786907196045, -0.43659377098083496, 0.364560604095459, -0.16654443740844727, 0.7330350875854492, 0.7197009325027466]",8378.4375,"[[0.2032078504562378, 0.9820135831832886, 0.9909443855285645, 0.5875892639160156, -0.5993494987487793, 0.6418417692184448, 0.695846676826477, 0.5942007303237915, -0.06839382648468018, 0.760791540145874, -0.9272937774658203, -0.9811562299728394, 0.3464162349700928, 0.8410509824752808, -0.494143009185791, -0.8146877288818359, -0.3404768705368042, -0.08429539203643799, 0.34725069999694824, -0.9292172193527222]]",3
7,28,8377.8427734375,"[-0.06596231460571289, -0.5367155075073242, 0.2564495801925659, 0.3592921495437622, 0.8068042993545532, -0.8547230958938599, 0.16699910163879395, -0.9583057165145874, 0.4747887849807739, 0.9354391098022461, 0.3671863079071045, 0.0741279125213623, 0.08890676498413086, 0.27476823329925537, 0.13512492179870605, 0.02029430866241455, 0.45147252082824707, 0.9820512533187866, 0.986336350440979, -0.9675018787384033]",8377.8427734375,"[[-0.06596231460571289, -0.5367155075073242, 0.2564495801925659, 0.3592921495437622, 0.8068042993545532, -0.8547230958938599, 0.16699910163879395, -0.9583057165145874, 0.4747887849807739, 0.9354391098022461, 0.3671863079071045, 0.0741279125213623, 0.08890676498413086, 0.27476823329925537, 0.13512492179870605, 0.02029430866241455, 0.45147252082824707, 0.9820512533187866, 0.986336350440979, -0.9675018787384033]]",4
8,29,8379.4892578125,"[-0.143035888671875, 0.06544816493988037, 0.3863333463668823, -0.9749090671539307, 0.4419041872024536, -0.6149893999099731, -0.44135916233062744, -0.595816969871521, -0.9214520454406738, -0.1474778652191162, 0.40900325775146484, -0.02525162696838379, 0.8900294303894043, 0.47517669200897217, 0.536334753036499, 0.0834430456161499, -0.9138913154602051, 0.8402289152145386, 0.4439660310745239, 0.8081992864608765]",8377.8427734375,"[[-0.06596231460571289, -0.5367155075073242, 0.2564495801925659, 0.3592921495437622, 0.8068042993545532, -0.8547230958938599, 0.16699910163879395, -0.9583057165145874, 0.4747887849807739, 0.9354391098022461, 0.3671863079071045, 0.0741279125213623, 0.08890676498413086, 0.27476823329925537, 0.13512492179870605, 0.02029430866241455, 0.45147252082824707, 0.9820512533187866, 0.986336350440979, -0.9675018787384033]]",4
9,30,8378.8671875,"[-0.8259660005569458, -0.3956294059753418, 0.6695369482040405, -0.847292423248291, 0.7577130794525146, 0.8942190408706665, -0.3191717863082886, -0.8305338621139526, 0.3887592554092407, -0.6794781684875488, 0.31730175018310547, -0.12084662914276123, 0.7677688598632812, 0.9619991779327393, -0.2764279842376709, 0.2719618082046509, 0.3240917921066284, -0.03708183765411377, 0.06088519096374512, -0.12168121337890625]",8377.8427734375,"[[-0.06596231460571289, -0.5367155075073242, 0.2564495801925659, 0.3592921495437622, 0.8068042993545532, -0.8547230958938599, 0.16699910163879395, -0.9583057165145874, 0.4747887849807739, 0.9354391098022461, 0.3671863079071045, 0.0741279125213623, 0.08890676498413086, 0.27476823329925537, 0.13512492179870605, 0.02029430866241455, 0.45147252082824707, 0.9820512533187866, 0.986336350440979, -0.9675018787384033]]",4
